,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-1,22,0,90,11,0,1,1,TR,226  
1,Bhira,41,2,21,0,80,5,0,0,-1,0,490  
2,Dahanu,31,-,22,-,60,-,0,0,0,1,200  
3,Goa(Panjim),34,1,24,-1,83,6,0,0,-1,0.00,294  
4,Harnai,31,1,21,-3,75,3,0,0,0,0,252  
5,Mumbai (CLB),30,-2,24,0,92,15,0,0,0,0.87,216  
6,Mumbai (SCZ),32,-1,22,-1,76,7,0,0,0,0.00,235  
7,Ratnagiri,33,1,22,-1,85,12,0,0,0,0,301  
8,Ahmednagar,40,2,17,-2,60,22,0,53,49,5,62   
9,Jalgaon,40,0,20,-1,50,7,0,12,6,6,75   
10,Jeur,-,-,22,3,60,7,0,15,12,2,62   
11,Kolhapur,39,2,22,1,60,-7,0,3,-3,1,107  
12,Mahabaleshwar,32,1,20,2,35,-4,0,9,1,1,582  
13,Malegaon,-,-,22,3,57,28,0,56,54,6,56   
14,Nasik,36,-1,18,1,50,11,0,16,14,2,68   
15,Pune,39,2,19,1,53,4,0,4,0,TR,74   
16,Pune AP(LHG),40,-,21,-,43,-,0,25,20,3,-
17,Sangli,38,0,22,2,67,-2,0,13,10,1,67   
18,Satara,40,4,19,-1,60,13,0,28,24,3,96   
19,Solapur,41,2,24,1,43,-5,0,65,60,10,76   
20,Aurangabad,38,1,21,1,50,14,0,76,70,10,77   
21,Nanded,41,2,21,0,50,10,0,71,6,10,94   
22,Osmanabad,38,-,21,-,50,-,0,68,63,8,82   
23,Parbhani,39,0,22,0,45,9,0,119,108,15,97   
24,Akola,40,1,25,3,33,-1,0,41,-,7,83   
25,Amravati,40,1,20,-3,55,18,0,71,-,13,89   
26,Brahmapuri,41,3,25,3,63,18,0,31,-,3,139  
27,Buldhana,37,2,25,3,37,-1,0,59,-,9,85   
28,Chandrapur,40,1,24,1,55,13,0,138,-,14,128  
29,Nagpur,40,2,21,0,33,0,0,37,-,6,113  
30,Wardha,41,2,23,0,80,47,0,61,-,13,109  
31,Yeotmal,39,1,22,-1,50,19,0,92,-,11,109  
32,Ahmedabad,38,0,22,0,62,11,0,0,-1,0.58,78   
33,Delhi (PLM),32,-1,17,0,55,-4,0,40,33,6,75   
34,Delhi (SFD),-,-,17,-1,70,12,0,93,79,12,78   
35,Bangalore A.P,35,1,20,-1,50,-16,0,0,-5,TR,-
36,Hyderabad,39,2,25,2,53,1,0,48,34,5,82   
