,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,35,4,27,1,90,2,0,95,-344,10,226  
1,Bhira,32,3,23,-1,90,-5,0,192,-493,21,490  
2,Dahanu,34,2,28,2,75,-9,0,104,-252,11,200  
3,Goa(Panjim),33,3,26,1,80,-10,0,461,-323,58.41,294  
4,Harnai,32,2,24,-1,80,-8,0,183,-383,18,252  
5,Mumbai (CLB),35,4,28,2,98,12,TR,55,-423,6.39,216  
6,Mumbai (SCZ),33,2,28,2,74,-10,0,87,-352,8.73,235  
7,Ratnagiri,32,3,26,2,85,-4,0,171,-559,18,301  
8,Ahmednagar,37,6,23,1,70,-8,0,44,-50,11,62   
9,Jalgaon,39,4,26,1,75,-5,0,20,-95,8,75   
10,Jeur,36,2,23,2,65,-14,0,130,32,17,62   
11,Kolhapur,32,4,23,1,85,-4,0,83,-47,13,107  
12,Mahabaleshwar,24,3,17,0,98,8,0,216,-496,33,582  
13,Malegaon,39,6,25,2,60,-15,0,17,-78,14,56   
14,Nasik,34,3,22,00,75,-4,0,26,-59,9,68   
15,Pune,34,4,22,-1,65,-15,0,12,-108,3,74   
16,Pune AP(LHG),35,-,22,-,75,-,0,21,-68,8,-
17,Sangli,34,4,23,1,85,-2,0,69,-35,14,67   
18,Satara,33,5,22,0,65,-16,0,59,-111,22,96   
19,Solapur,38,5,24,1,60,-21,0,25,-83,17,76   
20,Aurangabad,36,4,25,3,70,-11,0,65,-60,19,77   
21,Nanded,39,5,-,,-,-,-,-,-,-,94   
22,Osmanabad,38,-,20,-,75,-,6,79,-54,21,82   
23,Parbhani,39,5,27,3,57,-19,0,39,-101,23,97   
24,Akola,39,5,29,4,56,-20,0,22,-,12,83   
25,Amravati,37,4,23,0,75,-3,0,72,-,22,89   
26,Brahmapuri,31,-2,24,0,67,-14,4,68,-,13,139  
27,Buldhana,36,5,25,3,65,-15,0,24,-,12,85   
28,Chandrapur,28,-6,25,0,85,3,25,90,-,24,128  
29,Nagpur,39,6,26,1,72,-5,-1,58,-,15,113  
30,Wardha,40,7,26,2,81,-3,TR,61,-,21,109  
31,Yeotmal,38,5,25,2,57,-21,0,109,-,23,109  
32,Ahmedabad,40,4,28,1,68,-12,0,0,0,83.1,78   
33,Delhi (PLM),41,3,30,2,65,-1,0,24,-17,12,75   
34,Delhi (SFD),38,1,29,1,70,5,0,39,-10,22,78   
35,Bangalore A.P,33,5,21,1,85,-1,0,44,10,13,-
36,Hyderabad,37,5,24,1,50,-27,3,63,-24,15,82   
