,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,1,25,0,90,1,7,1463,4,147,226  
1,Bhira,27,0,23,0,95,-2,43,3593,433,361,490  
2,Dahanu,31,1,25,-1,95,7,5,161,280,162,200  
3,Goa(Panjim),29,0,24,0,94,3,25,1576,-478,169.92,294  
4,Harnai,30,1,22,-3,85,-4,9,1711,28,171,252  
5,Mumbai (CLB),29,-1,25,-1,98,10,6,1581,154,158.93,216  
6,Mumbai (SCZ),31,1,24,-1,85,-1,14,1817,294,181.73,235  
7,Ratnagiri,29,0,24,0,85,-5,1550,2040,-489,156,301  
8,Ahmednagar,31,2,23,2,80,-2,0,83,-146,15,62   
9,Jalgaon,31,0,21,-3,85,-4,0,356,-58,42,75   
10,Jeur,32,0,22,2,80,-6,0,183,-43,22,62   
11,Kolhapur,26,-1,22,1,90,-2,9,511,-63,56,107  
12,Mahabaleshwar,19,-1,17,0,100,1,45,4178,439,429,582  
13,Malegaon,32,2,23,1,85,3,0,204,-58,33,56   
14,Nasik,28,0,21,0,90,3,3,436,96,50,68   
15,Pune,28,0,21,-1,85,0,1,379,17,40,74   
16,Pune AP(LHG),28,-,21,-,95,-,3,338,42,40,-
17,Sangli,27,-2,22,1,100,12,4,251,-1,32,67   
18,Satara,27,1,21,0,90,4,16,517,24,67,96   
19,Solapur,33,2,22,0,85,2,TR,107,-181,25,76   
20,Aurangabad,30,1,22,1,90,5,2,257,-100,38,77   
21,Nanded,-,-,21,-,85,2,0,97,-350,20,94   
22,Osmanabad,30,-,18,-,90,-,0,294,-63,43,82   
23,Parbhani,33,2,22,-1,90,8,0,192,-263,39,97   
24,Akola,33,3,23,-1,73,-11,1,319,-,41,83   
25,Amravati,29,-1,19,-4,78,-9,0,509,-,65,89   
26,Brahmapuri,32,2,23,0,63,-24,3,723,-,79,139  
27,Buldhana,31,4,21,0,85,-2,0,215,-,31,85   
28,Chandrapur,33,2,26,2,78,-6,0,413,-,57,128  
29,Nagpur,33,3,23,-1,80,-6,0,515,-,61,113  
30,Wardha,33,3,22,-1,86,1,2,523,-,67,109  
31,Yeotmal,31,2,21,-1,78,7,5,475,-,59,109  
32,Ahmedabad,31,-1,25,0,89,1,5,659,216,67.63,78   
33,Delhi (PLM),35,1,28,2,75,-7,0,218,-146,20,75   
34,Delhi (SFD),34,1,28,2,75,-5,0,187,-131,33,78   
35,Bangalore A.P,28,0,21,1,85,-4,0,93,-93,18,-
36,Hyderabad,31,3,23,1,80,-2,2,234,-76,33,82   
