,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,28,-2,25,0,85,-4,106,1232,-55,123,226  
1,Bhira,-,-,27,5,95,-3,374,2743,51,276,490  
2,Dahanu,27,-3,26,-1,95,7,103,1203,58,121,200  
3,Goa(Panjim),30,2,25,0,90,-1,3,1304,-532,142.78,294  
4,Harnai,29,0,23,-1,95,6,20,1517,3,152,252  
5,Mumbai (CLB),28,-2,25,0,98,9,23,1367,101,137.56,216  
6,Mumbai (SCZ),28,-2,25,-1,85,-1,131,1512,185,151.23,235  
7,Ratnagiri,29,0,25,1,90,0,12,1303,-499,131,301  
8,Ahmednagar,-,-,21,0,98,15,14,77,-124,14,62   
9,Jalgaon,31,-1,23,-1,90,3,1,337,-5,40,75   
10,Jeur,-,-,22,-1,95,13,0,181,-16,22,62   
11,Kolhapur,24,-3,22,1,95,3,8,387,199,44,107  
12,Mahabaleshwar,19,-1,18,1,100,1,155,2867,-223,298,582  
13,Malegaon,29,-1,23,1,98,17,7,198,-27,32,56   
14,Nasik,23,-5,21,-1,95,8,80,287,5,35,68   
15,Pune,24,-4,22,0,90,5,84,227,-89,25,74   
16,Pune AP(LHG),24,-,22,-,100,-,86,201,-50,26,-
17,Sangli,26,-3,-,,-,-,-,-,-,-,67   
18,Satara,24,-2,22,1,90,4,12,363,-72,52,96   
19,Solapur,28,-4,23,1,85,2,0,90,-159,23,76   
20,Aurangabad,28,-1,23,2,95,9,TR,222,-77,35,77   
21,Nanded,31,-2,21,-1,75,-8,0,64,-321,17,94   
22,Osmanabad,26,-,19,-,98,-,5,270,-35,40,82   
23,Parbhani,31,0,24,1,90,9,0,156,-226,35,97   
24,Akola,33,2,25,1,80,-3,TR,297,-,39,83   
25,Amravati,29,-2,19,-4,95,13,0,498,-,64,89   
26,Brahmapuri,31,0,24,1,75,-10,1,660,-,72,139  
27,Buldhana,29,1,22,1,90,4,0,159,-,25,85   
28,Chandrapur,29,-3,25,1,90,8,2,359,-,51,128  
29,Nagpur,33,2,24,0,85,1,TR,499,-,59,113  
30,Wardha,32,0,23,0,95,12,3,505,-,65,109  
31,Yeotmal,30,0,21,-2,85,1,8,433,-,55,109  
32,Ahmedabad,31,-1,27,1,94,6,288,589,213,60.66,78   
33,Delhi (PLM),36,2,26,0,90,10,44,102,-148,20,75   
34,Bangalore A.P,30,2,20,0,85,-4,0,82,-82,17,-
35,Hyderabad,28,-3,24,2,85,3,TR,221,-47,31,82   
