,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,2,29,3,85,-3,0,95,-225,10,226  
1,Bhira,32,3,25,1,95,-1,0,190,-260,21,490  
2,Dahanu,34,2,29,2,75,-10,TR,101,-121,11,200  
3,Goa(Panjim),32,2,24,0,85,-4,6,453,-123,57.63,294  
4,Harnai,32,2,25,0,60,-22,1,181,-211,18,252  
5,Mumbai (CLB),32,1,29,3,92,6,TR,55,-264,6.33,216  
6,Mumbai (SCZ),33,2,29,3,76,-7,0,87,-206,8.68,235  
7,Ratnagiri,31,1,24,-1,85,-4,19,169,-336,18,301  
8,Ahmednagar,33,1,23,1,80,5,0,44,-29,11,62   
9,Jalgaon,38,-,27,-,70,-7,0,20,-51,8,75   
10,Jeur,-,-,23,-,80,3,0,130,54,17,62   
11,Kolhapur,29,1,23,1,90,2,1,81,-5,13,107  
12,Mahabaleshwar,21,0,18,1,100,1,4,204,-233,32,582  
13,Malegaon,37,-,25,-,65,-9,0,17,-56,14,56   
14,Nasik,31,0,24,1,75,-3,0,26,-32,9,68   
15,Pune,32,2,25,2,65,-13,0,12,-83,3,74   
16,Pune AP(LHG),33,-,25,-,65,-,0,21,-45,8,-
17,Sangli,31,1,24,2,85,1,0,69,-14,14,67   
18,Satara,29,0,23,1,75,-5,01,59,-78,22,96   
19,Solapur,33,0,25,2,75,-3,0,25,-61,17,76   
20,Aurangabad,35,2,25,2,75,-3,0,65,-27,19,77   
21,Nanded,37,2,22,-1,57,17,0,14,-73,12,94   
22,Osmanabad,32,-,20,-,80,-,0,73,-33,20,82   
23,Parbhani,38,3,25,1,65,-10,0,39,-59,23,97   
24,Akola,38,3,28,3,50,-12,0,22,-,12,83   
25,Amravati,37,2,22,-2,70,-6,0,72,-,22,89   
26,Brahmapuri,37,3,26,1,60,-16,0,32,-,9,139  
27,Buldhana,35,3,25,3,75,-4,0,24,-,12,85   
28,Chandrapur,38,3,29,3,60,-13,0,64,-,22,128  
29,Nagpur,37,2,26,1,75,2,4,57,-,15,113  
30,Wardha,38,3,28,4,75,1,0,61,-,21,109  
31,Yeotmal,35,1,25,1,60,-15,0,109,-,23,109  
32,Ahmedabad,41,4,29,2,70,-8,0,0,-43,17.6,78   
33,Delhi (PLM),-,-,33,-,47,-15,0,19,-09,12,75   
34,Delhi (SFD),43,5,33,5,47,14,0,13,-11,19,78   
35,Bangalore A.P,30,1,20,0,83,0,0,43,-11,13,-
36,Hyderabad,35,2,24,1,57,18,0,59,1,15,82   
