,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,0,25,1,82,-8,0,2181,121,218,226  
1,Dahanu,31,0,25,0,84,-3,0,2094,236,210,200  
2,Goa(Panjim),33,3,25,1,89,-1,0,2577,-42,270.01,294  
3,Harnai,31,1,23,-2,85,-4,0,2443,143,244,252  
4,Mumbai (CLB),31,0,27,2,96,06,0,2135,145,214.34,216  
5,Mumbai (SCZ),31,-1,25,0,82,-04,0,2298,125,229.78,235  
6,Ratnagiri,32,2,24,1,81,-8,0,2468,-266,248,301  
7,Ahmednagar,35,4,21,1,90,7,0,337,-85,40,62   
8,Jalgaon,34,-1,21,-2,81,0,0,679,32,74,75   
9,Jeur,-,-,22,-,71,-14,0,313,-107,35,62   
10,Kolhapur,30,0,23,2,88,-1,0,708,-89,76,107  
11,Mahabaleshwar,-,-,17,-,96,6,0,5473,18,559,582  
12,Malegaon,32,0,22,1,78,-4,0,373,-50,49,56   
13,Nasik,30,-1,20,0,91,6,0,621,92,64,68   
14,Pune,-,-,21,-,80,-5,0,534,79,59,74   
15,Pune AP(LHG),-,-,22,-,95,-,0,443,40,51,-
16,Sangli,28,-3,22,1,88,0,0,883,191,104,67   
17,Satara,30,1,22,1,82,-3,0,343,-183,49,96   
18,Solapur,35,3,24,2,73,-8,-,-,-,-,76   
19,Aurangabad,33,1,23,2,85,7,0,439,-151,56,77   
20,Nanded,35,2,19,-2,80,2,0,349,-438,45,94   
21,Parbhani,33,1,23,0,83,4,1,435,-351,63,97   
22,Akola,34,0,23,0,75,2,0,538,-,63,83   
23,Amravati,33,-1,19,0,84,8,0,846,-,99,89   
24,Brahmapuri,35,3,26,0,76,-8,0,1069,-,113,139  
25,Buldhana,31,1,22,0,83,3,0,596,-,69,85   
26,Chandrapur,-,-,22,-,90,11,0,940,-,109,128  
27,Nagpur,35,2,22,0,77,0,0,829,-,92,113  
28,Wardha,35,2,24,0,93,14,0,899,-,104,109  
29,Yeotmal,32,0,20,0,87,12,0,882,-,100,109  
30,Ahmedabad,34,-1,25,0,80,0,0,911,184,92.83,78   
31,Delhi (PLM),37,-,24,-,72,0,0,408,-250,39,75   
32,Delhi (SFD),36,1,24,0,60,-10,0,359,-205,50,78   
33,Bangalore A.P,31,3,20,2,87,-1,2,219,-133,30,-
34,Hyderabad,33,1,24,0,70,-9,0,445,-115,54,82   
