,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-1,24,-1,95,6,7,2181,157,218,226  
1,Bhira,25,-6,21,-2,95,0,4,4802,252,482,490  
2,Dahanu,31,0,24,-1,85,0,1,2091,268,210,200  
3,Goa(Dabolim),-,-,28,-,90,-,3,1698,-753,170,275  
4,Goa(Panjim),31,1,24,0,90,1,2,2577,-22,270.01,294  
5,Harnai,31,2,21,-4,80,-7,2,2441,160,244,252  
6,Mumbai (CLB),30,-1,24,-1,98,10,12,2135,179,214.34,216  
7,Mumbai (SCZ),30,-1,24,-1,96,12,12,2291,158,229.15,235  
8,Ratnagiri,30,0,23,-1,85,-2,0,2468,-243,248,301  
9,Ahmednagar,31,-1,20,0,90,9,1,337,-59,401,62   
10,Jalgaon,-,-,22,-,95,12,0,679,45,74,75   
11,Jeur,30,-3,22,-2,85,1,0,312,-87,35,62   
12,Kolhapur,29,-1,22,1,85,-3,0,708,-75,76,107  
13,Mahabaleshwar,20,-3,16,0,100,6,5,5472,55,559,582  
14,Malegaon,31,-2,21,0,85,4,0,373,-31,49,56   
15,Nasik,28,-2,20,0,85,1,TR,726,213,79,68   
16,Pune,26,-4,19,-2,90,6,TR,621,109,64,74   
17,Pune AP(LHG),27,-,20,-,90,-,TR,534,99,59,-
18,Sangli,29,-2,21,0,85,-3,0,416,30,49,67   
19,Satara,29,-,20,-,75,-,0,883,212,104,96   
20,Solapur,31,1,22,-2,80,-2,26,543,-162,49,76   
21,Aurangabad,32,1,22,1,80,2,0,439,-136,56,77   
22,Nanded,33,0,20,-2,95,19,0,349,-419,45,94   
23,Osmanabad,29,-,18,-,80,-,5,457,-145,59,82   
24,Parbhani,31,-2,22,-1,90,11,0,434,-334,63,97   
25,Akola,33,0,24,0,90,14,0,509,-162,60,83   
26,Amravati,31,-3,17,-6,90,13,0,700,-2,97,89   
27,Brahmapuri,-,-,24,-,75,8,0,990,-158,110,139  
28,Buldhana,29,-1,21,0,85,2,0,555,-123,64,85   
29,Chandrapur,-,-,23,-,100,20,0,814,-256,94,128  
30,Nagpur,33,0,24,1,75,2,0,846,-64,92,113  
31,Wardha,34,2,24,1,100,21,0,745,-134,90,109  
32,Yeotmal,30,-2,21,-1,75,2,0,846,-64,81,109  
33,Ahmedabad,33,-1,25,0,83,3,0,911,191,92.83,78   
34,Delhi (PLM),-,-,26,-,60,-11,0,408,-243,39,75   
35,Delhi (SFD),36,1,25,1,70,-3,0,359,-194,50,78   
36,Bangalore A.P,27,-1,20,0,80,-8,0,138,-205,22,-
37,Hyderabad,31,0,23,1,90,11,0,445,-99,54,82   
