,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,27,-2,17,-1,80,5,1,2,0,TR,226  
1,Bhira,31,-3,14,-1,85,6,0,0,-1,TR,490  
2,Dahanu,24,-4,16,-2,90,24,0,5,5,1,200  
3,Goa(Panjim),32,0,19,-1,81,3,0,0,0,0.0,294  
4,Harnai,30,3,19,-2,60,-1,0,0,0,0,252  
5,Mumbai (CLB),25,-5,19,-1,88,13,8,9,7,0.87,216  
6,Mumbai (SCZ),26,-4,16,-2,81,15,TR,0,-2,0.0,235  
7,Ratnagiri,29,-1,18,-1,65,0,0,0,0,0,301  
8,Ahmednagar,31-,-2,-,,90,34,0,0,2,0,62   
9,Jalgaon,29,-4,11,-3,60,4,0,20,15,2,75   
10,Jeur,31,-4,-,,-,-,-,-,-,-,62   
11,Kolhapur,29,-4,16,0,70,5,0,0,-3,0,107  
12,Mahabaleshwar,23,-4,10,-4,75,28,0,0,-1,0,582  
13,Malegaon,25,-7,11,-1,85,32,0,11,7,1,56   
14,Nasik,23,-8,8,-4,95,42,1,3,2,TR,68   
15,Pune,27,-5,10,-2,80,12,0,0,-1,TR,74   
16,Pune AP(LHG),29,-,12,-,85,-,0,0,0,0,-
17,Sangli,30,-4,15,0,90,22,0,0,-3,0,67   
18,Satara,27,-4,13,-1,90,29,0,0,-1,0,96   
19,Solapur,31,-3,16,-2,60,9,0,0,-5,0,76   
20,Aurangabad,27,-4,12,-2,80,32,0,10,3,1,77   
21,Nanded,31,-3,13,-2,65,14,0,0,-8,0,94   
22,Osmanabad,29,-,11,-,55,-,0,1,-2,0,82   
23,Parbhani,31,-2,14,-3,65,17,0,1,-7,TR,97   
24,Akola,30,-3,14,-3,58,10,0,1,-14,TR,83   
25,Amravati,30,-2,14,-3,73,26,0,12,-,1,89   
26,Brahmapuri,31,-1,17,1,73,7,0,0,-,0,139  
27,Buldhana,27,-3,12,-5,68,18,0,9,-,TR,85   
28,Chandrapur,32,-1,17,0,56,-5,0,0,-,0,128  
29,Nagpur,31,-1,16,0,60,6,0,4,-20,TR,113  
30,Wardha,31,-1,16,-1,75,27,0,0,-,0,109  
31,Yeotmal,30,-2,13,-5,50,5,0,0,-,0,109  
32,Ahmedabad,27,-3,13,-1,83,24,0,6,3,0.58,78   
33,Delhi (PLM),18,-6,8,-2,100,22,0,11,-7,1,75   
34,Delhi (SFD),18,-6,7,-4,100,26,0,22,-11,TR,78   
35,Bangalore A.P,30,0,23,6,65,-8,0,1,-8,0,-
36,Hyderabad,29,-3,19,0,50,-14,0,1,-10,TR,82   
