,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,36,4,25,0,75,0,0,0,-2,0,226  
1,Bhira,40,1,25,1,-,-,0,0,-6,0,490  
2,Dahanu,32,-1,26,0,70,-5,0,0,0,0,200  
3,Goa(Panjim),33,0,25,-1,76,03,0,16,-3,0.02,294  
4,Harnai,30,-3,25,-1,65,-8,0,0,-7,0,252  
5,Mumbai (CLB),33,0,27,1,87,12,0,0,-2,0,216  
6,Mumbai (SCZ),32,-1,27,1,64,-05,0,0,-1,0,235  
7,Ratnagiri,32,-1,23,-3,75,4,0,0,-4,0,301  
8,Ahmednagar,40,1,19,-3,57,17,0,15,-1,1,62   
9,Jalgaon,43,6,26,0,70,19,0,0,-10,0,75   
10,Jeur,40,-1,27,5,-,-,0,0,-16,0,62   
11,Kolhapur,37,0,21,-1,80,7,0,47,2,5,107  
12,Mahabaleshwar,31,0,18,-1,30,-14,0,17,-23,2,582  
13,Malegaon,42,2,23,0,47,3,0,0,-12,0,56   
14,Nasik,37,-1,20,-1,70,21,0,0,-11,0,68   
15,Pune,38,0,22,1,47,-7,0,7,-16,1,74   
16,Pune AP(LHG),40,1,21,-1,57,-16,0,6,-17,1,-
17,Sangli,39,2,21,-1,80,27,0,80,45,8,67   
18,Satara,38,-3,21,-4,65,8,0,23,-8,2,96   
19,Solapur,41,0,25,0,60,3,0,30,9,3,76   
20,Aurangabad,40,1,26,3,43,3,0,7,-6,1,77   
21,Nanded,42,0,23,-2,55,14,0,0,-21,TR,94   
22,Osmanabad,40,-1,22,-4,45,9,0,18,4,2,82   
23,Parbhani,43,-,26,-,47,-,0,2,-19,TR,97   
24,Akola,43,1,27,0,33,-2,0,1,-16,1,83   
25,Amravati,42,0,25,-2,45,8,0,6,-19,1,89   
26,Brahmapuri,43,1,26,-1,53,14,0,2,-31,0,139  
27,Buldhana,-,-,27,-,30,-14,0,0,-16,0,85   
28,Chandrapur,44,1,25,-2,35,-2,0,2,-39,TR,128  
29,Nagpur,43,1,-,,47,18,0,2,-32,1,113  
30,Wardha,43,0,26,-1,53,21,0,0,-22,TR,109  
31,Yeotmal,41,-1,26,-1,17,-13,0,0,-31,0,109  
32,Ahmedabad,42,1,27,2,64,01,0,3,0,0.03,78   
33,Delhi (PLM),39,0,23,-2,33,-4,0,0,-10,3,75   
34,Delhi (SFD),38,-2,22,-2,45,6,0,18,-5,3,78   
35,Bangalore A.P,34,0,23,1,75,1,0,82,27,8,-
36,Hyderabad,41,2,25,-1,27,-20,0,11,-30,1,82   
