,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,0,26,0,90,4,19,149,-56,15,226  
1,Bhira,33,2,25,1,99,6,TR,44,-230,4,490  
2,Dahanu,36,3,29,3,80,-4,TR,28,-92,3,200  
3,Goa(Dabolim),31,-,24,-,98,-,16,101,-270,10,275  
4,Goa(Panjim),31,2,23,-2,96,6,16,362,-33,36.21,294  
5,Harnai,33,3,24,-1,90,3,15,103,-158,10,252  
6,Mumbai (CLB),32,1,26,0,95,10,4,20,-176,2.0,216  
7,Mumbai (SCZ),35,3,25,-1,85,3,13,40,-139,4.03,235  
8,Ratnagiri,31,1,23,-2,90,1,5,95,-233,10,301  
9,Ahmednagar,35,2,23,1,80,3,0,1,-52,2,62   
10,Jalgaon,40,3,27,2,70,-6,1,15,-29,2,75   
11,Jeur,37,2,27,6,65,-14,0,0,-60,0,62   
12,Kolhapur,31,2,23,1,85,-2,0,12,-46,7,107  
13,Mahabaleshwar,23,1,18,1,100,2,5,38,-222,12,582  
14,Malegaon,35,0,19,-5,80,7,0,73,25,11,56   
15,Nasik,33,0,25,2,80,3,0,7,-31,2,68   
16,Pune,33,2,24,1,65,-13,1,14,-62,2,74   
17,Pune AP(LHG),35,-,24,-,62,-,TR,7,-46,3,-
18,Sangli,34,3,23,1,90,5,0,39,-28,12,67   
19,Satara,33,4,24,2,85,5,TR,15,-86,7,96   
20,Solapur,37,3,25,2,65,-14,0,10,-56,6,76   
21,Aurangabad,35,2,22,-1,75,-2,15,29,-33,5,77   
22,Nanded,38,2,25,1,80,9,11,29,-30,3,94   
23,Osmanabad,35,-,22,-,70,-,0,21,-58,5,82   
24,Parbhani,37,2,26,2,60,-14,0,11,-57,1,97   
25,Akola,39,2,24,-2,65,-5,21,51,-4,7,83   
26,Amravati,38,1,25,1,90,9,4,46,3,6,89   
27,Brahmapuri,41,4,26,1,80,9,TR,18,-30,1,139  
28,Buldhana,-,-,25,2,75,-1,0,74,13,7,85   
29,Chandrapur,41,4,26,0,75,6,14,28,-17,3,128  
30,Nagpur,40,3,25,-1,75,8,TR,82,31,9,113  
31,Wardha,40,3,25,0,90,21,3,25,-39,3,109  
32,Yeotmal,38,2,20,-4,80,10,45,46,-9,5,109  
33,Ahmedabad,39,0,29,1,74,-1,0,5,-24,0.76,78   
34,Delhi (PLM),43,4,32,4,42,-14,0,0,-18,3,75   
35,Delhi (SFD),43,3,32,4,45,-11,0,1,-17,3,78   
36,Bangalore A.P,32,3,21,1,75,-10,8,13,-33,17,-
37,Hyderabad,37,4,24,1,75,0,TR,2,-37,2,82   
