,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,29,1,16,-2,90,21,0,0,0,0,226  
1,Bhira,35,-,09,-,90,-,0,0,0,0,490  
2,Dahanu,27,-1,16,-1,85,17,0,0,0,0,200  
3,Goa(Panjim),33,1,22,2,95,16,0,0,-1,0.0,294  
4,Harnai,28,0,20,-2,55,-4,0,0,0,0,252  
5,Mumbai (CLB),29,0,19,-1,94,23,0,0,0,0.0,216  
6,Mumbai (SCZ),31,0,15,-1,87,24,0,0,0,0.0,235  
7,Ratnagiri,33,2,16,-3,75,10,0,0,0,0,301  
8,Ahmednagar,35,6,9,-3,90,35,0,0,0,0,62   
9,Jalgaon,31,1,-,,-,-,-,-,-,-,75   
10,Kolhapur,34,4,18,3,75,15,0,0,-1,0,107  
11,Mahabaleshwar,28,4,16,2,50,-5,0,0,-1,0,582  
12,Malegaon,28,-2,12,1,75,21,0,0,0,0,56   
13,Nasik,30,2,10,0,80,11,0,0,0,0,68   
14,Pune,32,3,11,0,90,25,0,0,0,0,74   
15,Pune AP(LHG),34,-,14,-,70,-,0,0,0,0,-
16,Sangli,33,3,17,3,75,13,0,0,-1,0,67   
17,Satara,33,-,17,-,75,-,0,0,-2,0,96   
18,Solapur,34,4,18,2,50,-2,0,0,-2,0,76   
19,Aurangabad,31,2,12,2,60,6,0,0,0,0,77   
20,Nanded,34,4,17,4,75,12,0,1,0,0,94   
21,Osmanabad,32,-,14,-,45,-,0,0,-2,0,82   
22,Parbhani,34,4,15,2,75,24,0,0,0,0,97   
23,Akola,33,3,12,-1,65,14,0,0,-3,0,83   
24,Amravati,31,2,14,-1,75,25,0,0,-3,0,89   
25,Brahmapuri,32,4,21,8,85,12,0,0,-2,0,139  
26,Buldhana,29,2,17,2,65,10,0,0,-2,0,85   
27,Chandrapur,33,4,21,8,85,12,0,0,-2,0,128  
28,Nagpur,31,3,17,5,80,14,0,1,-5,0,113  
29,Wardha,33,4,15,1,75,24,0,0,-1,0,109  
30,Yeotmal,31,3,15,0,70,16,0,0,-2,0,109  
31,Ahmedabad,28,-1,13,1,65,9,0,0,-1,0.0,78   
32,Delhi (PLM),17,-4,13,8,90,9,7,7,6,1,75   
33,Delhi (SFD),17,-5,13,,55,23,8,9,4,1,78   
34,Bangalore A.P,30,2,-,,-,-,-,-,-,-,-
35,Hyderabad,35,7,19,5,60,-19,0,0,-2,0,82   
