,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,0,27,3,85,7,0,0,0,0,226  
1,Bhira,41,2,19,-4,70,-8,0,0,-2,0,490  
2,Dahanu,34,1,27,3,37,-36,TR,0,0,0,200  
3,Goa(Dabolim),34,-,27,-,80,-,0,0,0,0,275  
4,Goa(Panjim),34,1,26,-1,80,5,0,0,-5,0.02,294  
5,Harnai,32,2,26,1,75,0,0,0,-1,0,252  
6,Mumbai (CLB),34,1,28,3,78,2,0,0,-1,0.0,216  
7,Mumbai (SCZ),33,1,27,2,66,-4,0,0,0,0.0,235  
8,Ratnagiri,35,3,25,0,80,7,0,0,-1,0,301  
9,Ahmednagar,38,-1,21,0,75,40,7,7,-1,1,62   
10,Jalgaon,39,-2,28,4,77,31,0,0,-8,0,75   
11,Jeur,39,-2,26,4,50,-4,0,0,-10,0,62   
12,Kolhapur,38,1,24,2,60,-10,0,21,-1,2,107  
13,Mahabaleshwar,31,-1,17,-2,55,15,5,17,-4,2,582  
14,Malegaon,39,-1,25,4,50,12,0,0,-3,0,56   
15,Nasik,36,-2,23,4,40,-1,0,0,-6,0,68   
16,Pune,37,-1,20,0,65,17,3,7,-2,1,74   
17,Pune AP(LHG),39,-,21,-,65,-,2,6,-4,1,-
18,Sangli,38,0,23,2,70,-1,0,73,73,0,67   
19,Satara,39,2,21,0,70,20,0,2,-9,0,96   
20,Solapur,41,1,24,0,55,5,0,24,11,TR,76   
21,Aurangabad,38,-1,23,1,65,29,2,2,-8,0,77   
22,Nanded,-,-,23,-,45,9,0,0,-17,TR,94   
23,Osmanabad,38,-,22,-,37,-,0,0,-1,1,82   
24,Parbhani,41,0,24,0,55,20,TR,2,-16,TR,97   
25,Akola,42,1,29,4,35,3,0,0,-15,1,83   
26,Amravati,42,1,28,4,45,7,0,0,-22,TR,89   
27,Brahmapuri,43,2,28,3,53,8,0,2,-29,0,139  
28,Buldhana,-,-,23,-,55,-,0,0,-13,0,85   
29,Chandrapur,44,3,27,2,45,6,0,0,-33,0,128  
30,Nagpur,40,-1,29,5,50,18,0,1,-29,1,113  
31,Wardha,41,0,27,3,40,11,0,0,-18,TR,109  
32,Yeotmal,40,0,26,1,27,-1,0,0,-27,0,109  
33,Ahmedabad,37,-3,27,3,48,-11,0,0,-2,0.0,78   
34,Delhi (PLM),38,1,24,4,45,1,0,8,0,2,75   
35,Delhi (SFD),37,1,25,4,50,5,0,13,-6,3,78   
36,Bangalore A.P,35,1,23,1,75,3,0,3,-25,TR,-
37,Hyderabad,39,1,26,1,37,14,0,2,-27,TR,82   
