,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,0,25,-1,80,-05,25,124,10,12,226  
1,Bhira,-,-,24,-1,85,-05,0,44,-125,4,490  
2,Dahanu,36,-3,28,1,70,-10,0,28,-39,3,200  
3,Goa(Dabolim),32,-,-,-,-,-,-,-,-,-,275  
4,Goa(Panjim),31,1,23,-2,97,9,120,302,33,30.22,294  
5,Harnai,32,1,25,-1,98,11,3,57,-103,6,252  
6,Mumbai (CLB),32,0,27,0,77,-5,0,15,-93,1.46,216  
7,Mumbai (SCZ),35,2,26,-1,64,-16,0,27,-73,2.75,235  
8,Ratnagiri,32,1,22,-3,98,11,11,59,-131,6,301  
9,Ahmednagar,35,1,22,0,90,17,1,1,-39,0.1,62   
10,Jalgaon,39,0,28,2,75,01,0,6,-21,1,75   
11,Jeur,-,-,-,-,-,-,-,-,-,-,62   
12,Kolhapur,31,0,23,1,90,05,2,12,-27,1,107  
13,Mahabaleshwar,22,-1,18,1,100,04,1,33,123,3,582  
14,Malegaon,-,-,17,-7,85,16,4,49,14,-,56   
15,Nasik,33,-1,23,0,60,-13,0,5,-18,1,68   
16,Pune,32,0,21,-1,71,05,0,13,-45,1,74   
17,Pune AP(LHG),34,-,23,-,63,-,0,7,-37,1,-
18,Sangli,32,0,23,1,90,08,0,38,-13,4,67   
19,Satara,31,0,22,1,70,-07,0,15,-61,1,96   
20,Solapur,37,1,24,1,70,-07,0,5,-44,0.5,76   
21,Aurangabad,35,-1,25,2,64,09,0,8,-28,1,77   
22,Nanded,29,-8,25,1,70,03,0,18,-22,2,94   
23,Osmanabad,35,-,21,-,75,-,0,20,-37,1,82   
24,Parbhani,39,2,28,3,50,-19,0,7,-39,1,97   
25,Akola,39,1,28,2,58,-6,0,12,-17,74,83   
26,Amravati,37,-1,26,2,77,12,0,53,27,10.4,89   
27,Brahmapuri,40,1,27,1,60,-1,3,7,-23,11,139  
28,Buldhana,-,-,27,-,66,-7,0,14,16,7,85   
29,Chandrapur,38,-1,27,0,43,-19,0,16,-15,12,128  
30,Nagpur,38,-1,23,-4,66,9,33,85,51,11,113  
31,Wardha,40,2,27,1,87,26,1,8,-27,10,109  
32,Yeotmal,38,0,25,0,70,08,TR,TR,-40,9,109  
33,Ahmedabad,39,0,29,1,73,0,0,5,-13,0.76,78   
34,Delhi (PLM),43,3,30,3,67,13,0,0,-11,3,75   
35,Delhi (SFD),41,2,29,1,43,-10,0,1,-11,3,78   
36,Bangalore A.P,32,2,20,0,75,-10,0,5,-31,16,-
37,Hyderabad,37,2,25,1,60,-09,0,0,-28,1,82   
