,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,0,20,-1,75,4,0,0,0,0,226  
1,Bhira,42,-,13,-,85,-,0,0,0,0,490  
2,Dahanu,33,3,19,-2,60,-8,0,0,0,0,200  
3,Goa(Dabolim),32,-,24,-,85,-,0,0,0,0,275  
4,Goa(Panjim),32,1,23,0,87,14,0,0,0,0.0,294  
5,Harnai,28,-1,22,0,90,17,0,0,0,0,252  
6,Mumbai (CLB),30,-1,21,-2,91,19,0,0,0,0.0,216  
7,Mumbai (SCZ),33,0,18,-2,62,-3,0,0,0,0.0,235  
8,Ratnagiri,32,1,19,-4,85,11,0,0,0,0,301  
9,Ahmednagar,39,3,14,-4,65,31,0,0,-2,0,62   
10,Jalgaon,40,3,16,-3,55,13,0,0,-3,0,75   
11,Jeur,39,1,-,,-,-,-,-,-,-,62   
12,Kolhapur,40,4,22,3,46,-9,0,0,-2,0,107  
13,Mahabaleshwar,34,5,20,2,32,-4,0,0,-5,0,582  
14,Malegaon,39,2,20,3,40,5,0,0,-1,0,56   
15,Nasik,37,2,15,-1,40,-10,0,0,-3,0,68   
16,Pune,38,2,15,-1,40,-4,0,0,-2,0,74   
17,Pune AP(LHG),39,-,18,-,35,-,0,0,-3,0,-
18,Sangli,40,4,20,1,55,1,0,0,0,0,67   
19,Satara,39,-,17,-,54,-,0,0,-2,0,96   
20,Solapur,40,3,20,-1,40,4,0,0,-2,0,76   
21,Aurangabad,38,2,21,3,28,-9,0,0,-3,0,77   
22,Nanded,41,4,19,-1,50,6,0,0,-7,TR,94   
23,Osmanabad,40,-,22,-,54,-,0,0,-3,0,82   
24,Parbhani,41,4,21,1,40,6,0,0,-8,TR,97   
25,Akola,40,3,-,,-,-,-,-,-,-,83   
26,Amravati,40,4,20,-1,46,13,0,0,-11,TR,89   
27,Brahmapuri,41,5,21,2,55,1,0,0,-14,0,139  
28,Buldhana,37,3,24,2,30,-12,0,0,-7,0,85   
29,Chandrapur,42,5,21,1,60,15,0,0,-13,0,128  
30,Nagpur,39,2,19,0,25,-15,0,0,-14,0,113  
31,Wardha,41,5,22,0,35,22,0,0,-10,TR,109  
32,Yeotmal,39,3,21,-1,24,-13,0,0,-12,0,109  
33,Ahmedabad,38,2,21,2,70,23,0,0,0,0.0,78   
34,Delhi (PLM),39,8,20,6,58,0,0,8,4,2,75   
35,Delhi (SFD),37,6,21,6,80,34,0,6,-4,2,78   
36,Bangalore A.P,35,2,21,2,70,9,0,1,-1,TR,-
37,Hyderabad,40,5,20,0,32,22,0,0,-6,0,82   
