,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,1,23,-1,80,10,0,1833,-227,183,226  
1,Bhira,33,2,21,-2,95,9,0,3498,-1109,350,490  
2,Dahanu,31,0,23,-2,90,3,91,1797,-61,180,200  
3,Goa(Dabolim),31,-,24,-,80,-,1,1635,-833,163,275  
4,Goa(Panjim),31,1,23,-1,84,-06,1,2689,71,268.95,294  
5,Harnai,29,7,23,-1,75,-14,0,2137,-163,214,252  
6,Mumbai (CLB),32,1,25,0,84,-06,1,1434,-556,164.12,216  
7,Mumbai (SCZ),31,0,24,-1,79,-07,1,1855,-318,185.47,235  
8,Ratnagiri,30,0,21,-3,85,-4,0,3103,369,310,301  
9,Ahmednagar,32,1,20,-1,90,7,0,156,-265,17,62   
10,Jalgaon,-,-,27,-,80,-1,0,335,-312,33,75   
11,Jeur,-,-,23,-,75,-10,0,57,-362,6,62   
12,Kolhapur,29,-1,20,-1,90,1,0,590,-208,64,107  
13,Mahabaleshwar,22,-2,15,-2,98,11,0,5172,-282,527,582  
14,Malegaon,-,-,14,-,85,3,0,479,57,51,56   
15,Nasik,28,-3,20,0,90,5,0,441,-88,45,68   
16,Pune,-,-,20,-,80,-5,0,377,-151,38,74   
17,Pune AP(LHG),32,-,19,-,85,-,0,249,-206,27,-
18,Sangli,31,0,19,-2,90,2,0,224,-179,30,67   
19,Satara,32,3,19,-2,90,5,0,369,-323,42,96   
20,Solapur,34,2,22,0,75,-6,0,347,-179,40,76   
21,Aurangabad,31,0,21,0,85,7,0,512,-78,53,77   
22,Nanded,31,-2,21,-2,95,17,0,351,-435,35,94   
23,Osmanabad,31,-,19,-,90,-,0,394,-228,42,82   
24,Parbhani,33,0,23,1,90,11,0,641,-144,65,97   
25,Akola,33,0,24,1,90,13,0,743,-,77,83   
26,Amravati,32,-1,21,-2,95,19,0,1024,-,105,89   
27,Brahmapuri,33,0,25,2,90,6,0,1645,-,168,139  
28,Buldhana,-,-,22,-,98,18,0,515,-,51,85   
29,Chandrapur,31,2,27,3,90,11,0,1401,-,140,128  
30,Nagpur,34,1,23,0,85,7,0,1191,264,120,113  
31,Wardha,34,1,23,0,90,12,0,833,-,84,109  
32,Yeotmal,-,-,20,-,85,10,0,997,-,100,109  
33,Ahmedabad,33,-2,24,0,84,04,0,545,-131,76.63,78   
34,Delhi (PLM),35,0,-,,-,-,-,-,-,-,75   
35,Delhi (SFD),35,1,23,-1,70,0,0,458,-107,49,78   
36,Bangalore A.P,32,4,20,0,80,-8,0,230,-122,39,-
37,Hyderabad,30,-1,23,1,80,1,0,502,-58,52,82   
