,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,0,24,2,90,17,0,72,-17,191,226  
1,Bhira,36,2,21,0,90,18,0,186,50,369,490  
2,Dahanu,31,-2,21,-1,80,17,0,27,-26,182,200  
3,Goa(Panjim),32,-1,25,1,89,12,0,105,-28,279.68,294  
4,Harnai,32,0,25,0,80,19,0,225,127,237,252  
5,Mumbai (CLB),33,-1,25,1,95,18,0,127,53,176.87,216  
6,Mumbai (SCZ),33,-1,23,0,71,9,0,169,86,203.66,235  
7,Ratnagiri,32,-2,23,0,85,23,0,292,164,340,301  
8,Ahmednagar,32,1,14,-3,70,2,0,53,-29,23,62   
9,Jalgaon,33,0,11,-5,50,-13,0,4,-40,34,75   
10,Jeur,-,-,22,5,60,-9,0,32,-50,9,62   
11,Kolhapur,31,0,21,2,95,23,0,109,-9,76,107  
12,Mahabaleshwar,26,0,16,-3,75,2,0,156,3,543,582  
13,Malegaon,32,0,11,-5,75,12,0,16,-41,54,56   
14,Nasik,31,0,13,-2,75,12,0,92,33,54,68   
15,Pune,32,1,17,1,80,5,0,145,56,53,74   
16,Pune AP(LHG),32,-,18,-,70,-,0,143,69,41,-
17,Sangli,32,0,20,1,85,10,0,105,-10,42,67   
18,Satara,33,4,18,1,90,19,0,207,97,66,96   
19,Solapur,33,1,19,0,57,-10,0,145,36,54,76   
20,Aurangabad,31,0,15,-1,55,-5,0,62,0,59,77   
21,Nanded,-,-,16,-1,70,2,0,35,-28,39,94   
22,Osmanabad,32,-,17,-,80,-,0,43,-56,46,82   
23,Parbhani,33,2,15,-3,60,-4,0,90,9,68,97   
24,Akola,33,1,17,-1,60,0,0,45,-,81,83   
25,Amravati,30,-2,13,-6,80,25,0,38,-,108,89   
26,Brahmapuri,31,0,21,3,90,15,0,88,-,177,139  
27,Buldhana,-,-,16,2,66,5,0,70,-,59,85   
28,Chandrapur,29,-2,20,1,85,12,0,59,-,146,128  
29,Nagpur,31,0,19,2,65,1,0,29,-,123,113  
30,Wardha,32,1,18,0,80,17,0,23,-,87,109  
31,Yeotmal,30,0,15,-3,65,10,0,98,-,109,109  
32,Ahmedabad,32,-2,16,-1,52,-4,0,0,-18,77.53,78   
33,Delhi (PLM),26,-5,16,1,85,22,0,0,-22,39,75   
34,Delhi (SFD),28,-2,15,0,90,13,0,0,-22,49,78   
35,Bangalore A.P,28,1,20,1,85,1,0,197,-15,53,-
36,Hyderabad,30,1,20,1,85,14,0,117,32,64,82   
