,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,-1,28,1,70,-7,0,0,-9,0,226  
1,Bhira,-,-,27,-,75,-,0,0,-19,0,490  
2,Dahanu,34,0,29,1,80,6,0,0,-4,0,200  
3,Goa(Dabolim),-,-,-,-,-,-,-,-,-,-,275  
4,Goa(Panjim),34,1,27,0,82,05,0,0,-79,0.02,294  
5,Harnai,31,0,26,-1,75,-5,0,0,-22,0,252  
6,Mumbai (CLB),34,0,28,0,77,02,0,0,-12,0.0,216  
7,Mumbai (SCZ),33,0,28,0,69,-01,0,0,-15,0.0,235  
8,Ratnagiri,33,0,25,-1,75,-1,0,1,-26,TR,301  
9,Ahmednagar,40,2,24,1,65,7,0,21,-9,2,62   
10,Jalgaon,43,1,28,1,75,9,0,0,-14,0,75   
11,Kolhapur,36,1,23,0,75,-2,0,55,-31,5,107  
12,Mahabaleshwar,29,0,17,-1,85,7,0,18,-63,2,582  
13,Malegaon,41,2,19,5,45,-12,0,33,13,3,56   
14,Nasik,37,0,23,0,80,14,0,12,-13,1,68   
15,Pune,37,1,24,1,65,1,0,8,-43,1,74   
16,Pune AP(LHG),38,-,23,-,65,-,0,18,-35,2,-
17,Sangli,36,0,23,0,85,8,0,81,7,8,67   
18,Satara,38,3,23,0,57,7,0,51,-1,5,96   
19,Solapur,38,2,26,2,60,10,0,50,5,5,76   
20,Aurangabad,39,0,27,4,60,1,0,21,-9,2,77   
21,Nanded,42,1,25,-1,77,27,0,0,-34,TR,94   
22,Osmanabad,37,-,22,-,47,-,0,27,-9,3,82   
23,Parbhani,44,3,29,2,40,-11,0,3,-32,TR,97   
24,Akola,44,2,31,5,47,-1,0,4,-20,1,83   
25,Amravati,45,3,28,0,35,-12,0,18,-15,2,89   
26,Brahmapuri,47,4,33,4,40,-4,0,2,-41,TR,139  
27,Buldhana,-,-,26,-,60,1,0,0,-23,0,85   
28,Chandrapur,46,3,33,4,25,-16,0,2,-53,TR,128  
29,Nagpur,47,4,33,4,23,-13,0,4,-43,1,113  
30,Wardha,46,3,30,2,65,24,0,2,-35,0,109  
31,Yeotmal,44,3,29,1,37,-4,0,0,-45,0,109  
32,Ahmedabad,42,1,28,0,72,02,0,3,-9,0.3,78   
33,Delhi (PLM),44,2,31,4,30,-11,0,3,-20,3,75   
34,Delhi (SFD),43,2,31,4,35,-6,0,21,-10,3,78   
35,Bangalore A.P,31,-2,22,1,76,-9,0,160,28,16,-
36,Hyderabad,42,3,30,3,25,-27,0,16,-47,2,82   
