,0,1,2,3,4,5,6,7,8,9,10,11
0,Bhira,27,-1,23,0,90,-7,36,686,-569,69,490  
1,Dahanu,31,0,28,2,90,3,TR,296,-333,30,200  
2,Goa(Dabolim),31,0,23,-2,90,4,53,717,-300,72,275  
3,Goa(Panjim),31,1,23,-1,95,05,34,1456,349,145.6,294  
4,Harnai,30,1,25,0,85,-3,3,831,-62,83,252  
5,Mumbai (CLB),31,1,27,2,86,-01,1,354,-414,56.1,216  
6,Mumbai (SCZ),31,0,28,2,81,-05,TR,539,-195,53.9,235  
7,Ratnagiri,30,1,24,0,85,-4,14,1342,250,134,301  
8,Ahmednagar,30,0,22,0,85,6,0,78,-47,10,62   
9,Jalgaon,30,-4,23,-2,90,7,11,120,-63,12,75   
10,Jeur,23,0,24,4,85,4,0,3,-120,TR,62   
11,Kolhapur,27,0,22,0,95,5,14,102,-148,16,107  
12,Mahabaleshwar,20,0,18,1,100,1,62,277,-1115,93,582  
13,Malegaon,30,-2,18,-5,75,-3,0,123,-5,16,56   
14,Nasik,28,-2,23,1,95,13,6,69,-66,8,68   
15,Pune,29,0,23,1,80,-1,6,48,-132,5,74   
16,Pune AP(LHG),30,-,23,-,85,-,7,-,-,-,-
17,Sangli,30,1,22,0,95,7,TR,79,-54,16,67   
18,Satara,28,1,22,0,90,6,4,54,-198,10,96   
19,Solapur,32,0,23,1,85,4,16,85,-59,13,76   
20,Aurangabad,27,-4,23,1,90,8,7,189,23,21,77   
21,Nanded,33,0,22,-1,95,15,6,71,-133,7,94   
22,Osmanabad,30,-,19,-,95,-,7,61,-113,9,82   
23,Parbhani,30,-2,23,0,90,10,8,131,-73,13,97   
24,Akola,23,-5,24,-1,95,17,23,219,28,23,83   
25,Amravati,34,1,21,0,95,14,23,186,7,20,89   
26,Brahmapuri,27,-5,24,0,95,12,9,374,113,17,139  
27,Buldhana,-,-,22,-,95,12,18,115,-86,11,85   
28,Chandrapur,29,-3,24,-1,90,9,18,195,-49,20,128  
29,Nagpur,28,-4,24,0,90,9,3,180,-53,19,113  
30,Wardha,29,-3,23,0,90,8,39,172,-61,17,109  
31,Yeotmal,25,-6,20,-3,95,14,9,239,-4,24,109  
32,Ahmedabad,34,0,27,1,85,02,3,73,-89,7.62,78   
33,Delhi (PLM),40,3,24,-3,95,24,34,-,-,-,75   
34,Delhi (SFD),31,-6,23,-5,100,30,40,41,-49,7,78   
35,Bangalore A.P,32,4,20,0,80,-7,0,14,-75,17,-
36,Hyderabad,31,0,21,-2,85,5,11,50,-89,7,82   
