,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,3,23,1,95,24,0,0,0,0.0,226  
1,Bhira,-,-,15,-,75,-,0,0,0,0.0,490  
2,Dahanu,32,1,25,3,35,-34,0,0,0,0.0,200  
3,Goa(Dabolim),32,-,24,-,85,-,0,0,0,0.0,275  
4,Goa(Panjim),33,1,25,1,89,16,0,0,-1,0.0,294  
5,Harnai,31,2,22,-2,85,14,0,0,0,0.0,252  
6,Mumbai (CLB),35,4,24,1,93,21,0,0,0,0.0,216  
7,Mumbai (SCZ),39,6,19,-2,56,-10,0,0,0,0.0,235  
8,Ratnagiri,32,0,22,-1,90,16,0,0,0,0.0,301  
9,Ahmednagar,40,4,15,-4,40,7,0,0,-2,0.0,62   
10,Jalgaon,41,4,15,-4,33,-9,0,0,-4,0.0,75   
11,Jeur,40,2,22,2,47,9,0,0,-2,0.0,62   
12,Kolhapur,37,1,22,3,50,-6,0,0,-4,0.0,107  
13,Mahabaleshwar,34,5,20,2,27,-9,0,0,-6,0.0,582  
14,Malegaon,42,5,16,-2,53,19,0,0,-1,0.0,56   
15,Nasik,39,4,16,0,33,-16,0,0,-3,0.0,68   
16,Pune,38,2,15,-1,40,-3,0,0,-2,0.0,74   
17,Pune AP(LHG),39,-,19,-,25,-,0,0,-4,0.0,-
18,Sangli,40,4,20,1,45,-10,0,0,-2,0.0,67   
19,Satara,40,-,19,-,55,-,0,0,-2,0.0,96   
20,Solapur,40,2,20,-2,20,-16,0,0,-3,0.0,76   
21,Aurangabad,39,3,19,1,23,-13,0,0,-4,0.0,77   
22,Nanded,41,4,18,-2,55,12,0,0,-7,TR,94   
23,Osmanabad,40,-,18,-,19,-,0,0,-4,0.0,82   
24,Parbhani,40,2,18,-3,45,11,0,0,-9,TR,97   
25,Akola,41,3,19,-1,22,-10,0,0,-8,1,83   
26,Amravati,40,3,22,0,36,4,0,0,-12,TR,89   
27,Brahmapuri,41,5,-,,-,-,-,-,-,-,139  
28,Buldhana,38,3,22,0,23,-19,0,0,-8,0.0,85   
29,Chandrapur,41,3,19,-2,37,-7,0,0,-14,0.0,128  
30,Nagpur,39,2,19,-1,24,-14,0,0,-15,1,113  
31,Wardha,40,3,22,0,45,12,0,0,-11,TR,109  
32,Yeotmal,39,2,21,-1,36,-1,0,0,-14,-,109  
33,Ahmedabad,39,2,18,-2,32,-15,0,0,-1,0.0,78   
34,Delhi (PLM),34,2,16,1,60,4,0,8,3,2,75   
35,Delhi (SFD),33,1,17,1,65,21,0,6,-6,2,78   
36,Bangalore A.P,34,0,19,0,37,-25,0,1,-2,TR,-
37,Hyderabad,38,3,19,-2,30,-23,0,0,-10,0.0,82   
