,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,3,28,3,80,-8,0,842,-38,86,226  
1,Bhira,33,5,24,1,95,-1,7,1179,-374,129,490  
2,Dahanu,34,1,27,0,85,5,3,742,14,75,200  
3,Goa(Panjim),32,3,25,1,85,-05,21,1116,-135,119.87,294  
4,Harnai,31,2,28,3,80,-9,1,1285,269,134,252  
5,Mumbai (CLB),32,2,27,1,83,-04,2,879,11,89.59,216  
6,Mumbai (SCZ),32,2,26,1,77,-09,6,1125,280,113.82,235  
7,Ratnagiri,30,1,24,-1,90,1,17,1209,-12,126,301  
8,Jalgaon,36,3,26,2,70,-15,0,85,-132,17,75   
9,Jeur,33,0,24,4,70,-10,0,31,-107,9,62   
10,Kolhapur,27,0,22,0,90,0,5,221,-88,41,107  
11,Mahabaleshwar,20,0,18,1,99,0,7,1549,-186,181,582  
12,Malegaon,35,4,25,2,65,-15,0,157,2,19,56   
13,Nasik,31,2,23,1,80,-3,0,135,-38,19,68   
14,Pune,30,1,23,1,80,-2,TR,215,2,39,74   
15,Pune AP(LHG),29,-,23,-,90,-,0,203,31,32,-
16,Sangli,29,0,22,0,85,-2,0,161,6,32,67   
17,Satara,38,1,23,1,80,-3,1,311,16,41,96   
18,Solapur,35,3,24,2,70,-12,0,47,-113,14,76   
19,Aurangabad,33,2,24,2,85,2,0,216,27,31,77   
20,Nanded,33,1,-,,-,-,-,-,-,-,94   
21,Osmanabad,33,-,21,-,80,-,0,67,-132,21,82   
22,Parbhani,36,4,26,3,65,-16,0,159,-76,30,97   
23,Akola,36,4,27,3,64,-17,0,161,-,33,83   
24,Amravati,31,-1,25,2,70,-13,0,345,-,49,89   
25,Brahmapuri,31,0,24,1,72,-14,9,313,-,49,139  
26,Buldhana,33,4,24,2,66,19,0,83,-,25,85   
27,Chandrapur,33,1,25,1,72,-10,0,563,-,72,128  
28,Nagpur,30,-2,24,0,78,5,TR,470,-,62,113  
29,Wardha,34,3,25,2,74,-10,2,264,-,40,109  
30,Yeotmal,32,1,24,1,66,18,0,177,-,38,109  
31,Ahmedabad,37,3,2,0,78,-04,0,136,-69,20.00,78   
32,Delhi (PLM),26,-9,-,,-,-,-,-,-,-,75   
33,Delhi (SFD),27,-9,23,-3,95,18,69,270,150,38,78   
34,Bangalore A.P,29,1,29,-1,80,-8,0,60,-51,30,-
35,Hyderabad,36,5,25,2,70,-9,0,169,9,29,82   
