,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,0,28,1,85,5,0,23,7,2,226  
1,Bhira,-,-,25,-,95,12,0,107,77,11,490  
2,Dahanu,36,2,30,2,80,4,0,9,-1,1,200  
3,Goa(Panjim),35,2,28,2,83,2,0,83,-22,8.28,294  
4,Harnai,32,1,29,2,80,-3,0,53,22,5,252  
5,Mumbai (CLB),34,0,29,2,85,7,0,17,1,1.74,216  
6,Mumbai (SCZ),35,1,27,0,76,2,0,13,-8,1.30,235  
7,Ratnagiri,32,0,27,1,85,6,0,4,-43,5,301  
8,Jalgaon,44,2,28,1,60,-4,0,86,69,9,75   
9,Jeur,34,-7,-,,-,-,-,-,-,-,62   
10,Kolhapur,30,-4,23,1,90,9,0,187,93,19,107  
11,Mahabaleshwar,29,1,21,2,75,-9,TR,265,172,27,582  
12,Malegaon,42,3,28,3,39,-20,0,34,8,3,56   
13,Nasik,36,-1,24,2,34,-33,0,52,22,6,68   
14,Pune,33,3,23,0,70,1,0,172,116,17,74   
15,Pune AP(LHG),34,-2,24,1,80,11,TR,117,56,12,-
16,Sangli,35,-2,24,1,85,5,0,160,76,16,67   
17,Satara,35,0,23,0,70,-2,0,97,34,10,96   
18,Solapur,38,-2,25,1,65,-7,0,95,45,9,76   
19,Aurangabad,40,1,30,0,47,-15,0,99,64,10,77   
20,Nanded,41,0,-,,-,-,-,-,-,-,94   
21,Osmanabad,38,-,23,-,70,-,0,138,75,14,82   
22,Parbhani,43,1,30,3,40,-17,0,140,100,14,97   
23,Akola,45,3,32,4,31,-21,0,110,-,17,83   
24,Amravati,44,2,30,4,37,-15,0,97,-,15,89   
25,Brahmapuri,47,4,31,3,55,6,1,145,-,17,139  
26,Buldhana,41,3,29,4,56,-6,0,131,-,17,85   
27,Chandrapur,47,4,31,2,36,-12,0,159,-,16,128  
28,Nagpur,47,4,30,1,30,-10,0,133,-,15,113  
29,Wardha,47,4,30,3,30,-17,0,102,-,13,109  
30,Yeotmal,44,3,31,3,36,-10,0,153,-,21,109  
31,Ahmedabad,43,2,29,1,67,-3,0,55,41,6.23,78   
32,Delhi (PLM),44,3,31,4,35,-7,0,145,120,15,75   
33,Delhi (SFD),43,2,29,1,30,-13,0,112,79,11,78   
34,Bangalore A.P,32,-1,26,2,-,-,0,236,87,23,-
35,Hyderabad,41,3,28,3,40,-18,0,126,59,13,82   
