,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,0,23,0,81,2,0,23,23,2,226  
1,Bhira,-,-,19,-,81,4,0,78,77,8,490  
2,Dahanu,31,-1,23,0,68,-1,0,9,9,1,200  
3,Goa(Panjim),33,1,25,0,77,0,0,43,42,4.30,294  
4,Harnai,31,1,25,0,75,2,0,53,53,5,252  
5,Mumbai (CLB),32,0,25,-1,86,9,0,14,13,1.36,216  
6,Mumbai (SCZ),33,0,22,-1,73,4,0,13,13,1.30,235  
7,Ratnagiri,33,1,23,-1,76,4,0,49,49,5,301  
8,Ahmednagar,39,1,-,,-,-,-,-,-,-,62   
9,Jalgaon,39,-1,20,-2,60,15,0,71,65,7,75   
10,Kolhapur,36,-1,22,1,57,-6,0,59,51,6,107  
11,Mahabaleshwar,31,-1,17,-1,35,-4,0,74,65,7,582  
12,Malegaon,41,2,19,0,50,13,0,30,28,-,56   
13,Nasik,36,-1,18,0,64,25,0,51,48,6,68   
14,Pune,37,0,17,-1,48,-2,0,59,56,6,74   
15,Pune AP(LHG),37,-,19,-,45,-,0,64,58,6,-
16,Sangli,37,-1,21,0,59,-8,0,35,32,4,67   
17,Satara,38,2,20,0,37,-11,0,31,26,3,96   
18,Solapur,40,1,23,0,36,-10,0,14,9,1,76   
19,Aurangabad,37,-1,23,3,33,-2,0,58,53,6,77   
20,Nanded,41,1,17,-5,54,15,0,29,19,3,94   
21,Osmanabad,39,-,19,-,40,-,0,24,19,2,82   
22,Parbhani,39,0,23,0,32,-5,0,51,39,5,97   
23,Akola,39,-1,24,1,33,-1,0,45,-,11,83   
24,Amravati,38,-2,22,-1,43,8,0,86,-,14,89   
25,Brahmapuri,40,1,23,0,49,3,0,53,-,8,139  
26,Buldhana,37,1,23,0,41,4,0,71,-,11,85   
27,Chandrapur,38,-3,22,-2,46,5,0,53,-,5,128  
28,Nagpur,41,2,20,-3,36,2,0,56,-,7,113  
29,Wardha,39,-1,21,-2,44,7,0,80,-,11,109  
30,Yeotmal,37,-2,22,-2,50,19,0,109,-,16,109  
31,Ahmedabad,39,1,24,2,76,23,0,33,32,3.35,78   
32,Delhi (PLM),35,1,19,1,95,43,8,128,121,13,75   
33,Delhi (SFD),35,2,19,0,90,39,6,102,88,10,78   
34,Bangalore A.P,34,0,22,1,75,5,0,37,31,4,-
35,Hyderabad,38,1,25,2,50,-5,0,20,4,2,82   
