,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,35,2,27,0,70,-7,0,23,13,2,226  
1,Bhira,38,1,24,0,95,15,0,107,88,11,490  
2,Dahanu,37,8,28,0,70,-4,0,9,5,1,200  
3,Goa(Panjim),36,3,28,2,76,-1,0,83,-22,8.25,294  
4,Harnai,35,4,28,1,75,-5,0,53,31,5,252  
5,Mumbai (CLB),35,1,28,1,85,10,0,17,5,1.74,216  
6,Mumbai (SCZ),35,1,28,0,67,-3,0,13,-2,1.30,235  
7,Ratnagiri,35,2,27,1,70,-6,0,1,-27,5,301  
8,Jalgaon,42,0,28,1,85,21,0,86,72,9,75   
9,Jeur,41,0,24,2,80,16,0,8,-31,1,62   
10,Kolhapur,35,0,24,1,75,-2,0,149,63,15,107  
11,Mahabaleshwar,29,0,18,0,65,-13,0,262,180,26,582  
12,Malegaon,42,3,26,2,60,3,0,34,14,3,56   
13,Nasik,37,0,23,0,80,14,0,52,26,6,68   
14,Pune,36,0,23,0,70,4,0,171,120,17,74   
15,Pune AP(LHG),36,-,23,-,80,-,0,115,59,11,-
16,Sangli,36,0,24,1,75,-2,0,114,40,11,67   
17,Satara,36,1,23,0,60,-4,0,79,27,8,96   
18,Solapur,42,3,25,1,60,-10,0,85,41,9,76   
19,Aurangabad,41,2,25,1,60,1,0,99,69,10,77   
20,Nanded,43,2,25,-1,47,3,0,111,77,11,94   
21,Osmanabad,42,-,24,-,80,-,0,132,96,13,82   
22,Parbhani,44,3,28,1,45,-6,0,140,105,14,97   
23,Akola,44,2,30,2,45,-3,0,110,-,17,83   
24,Amravati,44,2,29,1,43,-4,0,97,-,15,89   
25,Brahmapuri,46,3,31,2,47,3,0,145,-,17,139  
26,Buldhana,39,1,26,2,65,6,0,131,-,17,85   
27,Chandrapur,46,3,28,-1,40,-1,0,159,-,16,128  
28,Nagpur,46,3,27,-2,40,4,TR,133,-,15,113  
29,Wardha,47,4,28,0,40,-1,0,99,-,13,109  
30,Yeotmal,44,3,29,1,40,-1,0,152,-,21,109  
31,Ahmedabad,44,2,29,1,69,-1,0,55,43,6.23,78   
32,Delhi (PLM),46,4,30,3,47,6,0,145,123,15,75   
33,Delhi (SFD),45,4,25,-2,37,-4,0,112,81,11,78   
34,Bangalore A.P,32,-1,22,1,80,1,0,221,89,22,-
35,Hyderabad,43,4,31,4,37,15,0,125,62,13,82   
