,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,0,27,1,85,-3,0,789,350,81,226  
1,Bhira,27,-2,24,0,95,0,19,1068,421,117,490  
2,Dahanu,32,1,28,2,85,0,TR,731,395,74,200  
3,Goa(Panjim),32,2,25,1,89,-1,3,849,101,93.15,294  
4,Harnai,31,1,27,2,85,3,3,1175,642,123,252  
5,Mumbai (CLB),30,-1,28,2,91,5,TR,863,412,88.06,216  
6,Mumbai (SCZ),32,-1,27,1,79,-5,5,1104,694,111.74,235  
7,Ratnagiri,31,2,25,1,95,6,9,1029,338,108,301  
8,Ahmednagar,30,-1,22,0,55,-23,0,67,-24,9,62   
9,Jalgaon,35,0,25,0,70,10,0,79,-23,17,75   
10,Jeur,33,1,24,3,80,1,0,31,-63,9,62   
11,Kolhapur,27,-1,23,1,85,-4,6,204,83,39,107  
12,Mahabaleshwar,20,-1,18,1,100,2,25,1408,742,167,582  
13,Malegaon,30,-3,23,0,80,5,0,157,65,19,56   
14,Nasik,29,2,24,2,70,-9,0,134,55,19,68   
15,Pune,29,-1,24,1,70,10,TR,209,93,38,74   
16,Pune AP(LHG),30,-,24,-,70,-,TR,198,113,31,-
17,Sangli,28,-2,23,1,90,3,0,155,56,31,67   
18,Satara,28,0,23,1,80,-1,1,306,141,40,96   
19,Solapur,33,0,24,1,75,-6,0,37,-66,13,76   
20,Aurangabad,31,-1,24,2,80,-1,0,214,96,31,77   
21,Nanded,-,-,21,-,70,-6,0,145,24,26,94   
22,Osmanabad,32,-,20,-,75,-,0,67,-63,21,82   
23,Parbhani,35,1,24,0,70,-6,0,157,25,30,97   
24,Akola,35,1,25,0,73,-3,TR,161,-,33,83   
25,Amravati,34,1,24,1,78,0,0,339,-,49,89   
26,Brahmapuri,34,1,27,3,67,13,1,248,-,42,139  
27,Buldhana,32,1,23,1,76,4,0,83,-,25,85   
28,Chandrapur,32,2,24,-1,67,-10,0,535,-,69,128  
29,Nagpur,34,0,25,0,76,1,0,447,-,59,113  
30,Wardha,35,2,26,2,73,-5,0,261,-,39,109  
31,Yeotmal,34,1,24,1,77,-1,0,166,-,37,109  
32,Ahmedabad,35,-1,27,0,78,-2,0,134,61,19.80,78   
33,Delhi (PLM),32,-6,25,-3,75,9,0,48,9,19,75   
34,Delhi (SFD),31,-6,24,4,70,4,TR,63,19,17,78   
35,Bangalore A.P,31,3,21,1,90,4,0,51,-12,29,-
36,Hyderabad,34,2,25,2,75,-2,0,166,85,29,82   
