,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-1,26,0,90,2,57,758,393,78,226  
1,Bhira,-,-,24,-,90,-6,49,639,111,75,490  
2,Dahanu,31,-1,25,-2,95,10,71,693,416,70,200  
3,Goa(Panjim),31,2,25,1,89,0,22,819,173,90.18,294  
4,Harnai,29,-1,26,1,90,2,33,1087,647,114,252  
5,Mumbai (CLB),30,-2,26,0,95,9,70,828,459,84.52,216  
6,Mumbai (SCZ),31,0,25,-1,93,10,89,1039,703,105.16,235  
7,Ratnagiri,30,0,26,1,90,1,7,968,378,102,301  
8,Ahmednagar,28,-4,22,0,65,-10,4,57,-21,8,62   
9,Jalgaon,32,6,24,-1,85,8,22,73,-10,16,75   
10,Jeur,29,1,24,2,80,-8,0,31,-55,9,62   
11,Kolhapur,28,7,22,5,90,-9,1,149,51,34,107  
12,Mahabaleshwar,20,-1,18,1,100,1,184,1029,504,129,582  
13,Malegaon,31,-3,23,-1,90,16,11,146,65,18,56   
14,Nasik,26,-5,22,-1,100,22,18,90,21,15,68   
15,Pune,37,-3,22,-1,90,12,8,161,58,33,74   
16,Pune AP(LHG),27,-,23,-,100,-,5,158,84,27,-
17,Sangli,28,-2,24,2,90,6,0,139,51,30,67   
18,Satara,26,-3,21,-1,95,15,14,204,56,30,96   
19,Solapur,33,0,23,0,75,-3,0,37,-56,13,76   
20,Aurangabad,30,-3,23,0,80,2,2,209,107,31,77   
21,Nanded,27,-8,19,-4,80,6,0,145,43,26,94   
22,Osmanabad,28,-,-,,-,-,-,-,-,-,82   
23,Parbhani,30,-5,23,-1,80,5,4,157,46,30,97   
24,Akola,29,6,25,0,76,4,2,160,-,33,83   
25,Amravati,26,-9,23,-1,92,16,7,339,-,49,89   
26,Brahmapuri,26,8,25,0,75,-1,7,243,-,42,139  
27,Buldhana,29,-3,23,1,84,5,9,81,-,25,85   
28,Chandrapur,27,-8,24,-2,91,18,5,535,-,69,128  
29,Nagpur,26,-8,24,1,92,19,54,441,-,89,113  
30,Wardha,26,-9,24,0,93,19,19,249,-,38,109  
31,Yeotmal,25,-9,21,-3,82,7,20,166,-,37,109  
32,Ahmedabad,36,-1,27,0,74,-4,TR,1,-53,6.50,78   
33,Delhi (PLM),40,1,28,1,60,-2,0,48,16,19,75   
34,Delhi (SFD),38,0,27,-1,65,4,0,41,7,15,78   
35,Bangalore A.P,29,0,20,0,80,-5,1,47,-10,28,-
36,Hyderabad,30,-3,24,1,80,5,TR,166,99,29,82   
