,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,28,-1,18,1,75,1,0,0,0,0,226  
1,Bhira,35,2,17,2,75,-6,0,0,-1,0,490  
2,Dahanu,26,-2,17,0,75,8,0,0,0,0,200  
3,Goa(Dabolim),32,-,21,-,70,-,0,0,-1,0,275  
4,Goa(Panjim),34,2,21,1,87,7,0,0,0,0,294  
5,Harnai,28,-1,20,-1,65,6,0,0,0,0,252  
6,Mumbai (CLB),28,-2,20,1,60,-17,0,0,0,0,216  
7,Mumbai (SCZ),31,0,17,0,41,-28,0,0,0,0,235  
8,Ratnagiri,34,3,16,-3,53,-14,0,0,0,0,301  
9,Ahmednagar,32,2,12,0,69,5,0,0,0,0,62   
10,Jalgaon,30,0,8,-4,45,-24,0,0,-2,0,75   
11,Jeur,31,0,17,5,55,-12,0,0,0,0,62   
12,Kolhapur,31,1,18,3,85,11,0,0,-1,0,107  
13,Mahabaleshwar,26,0,14,1,75,13,0,0,0,0,582  
14,Malegaon,29,-1,7,-4,63,-4,0,0,-2,0,56   
15,Nasik,35,6,9,-1,48,-20,0,0,0,0,68   
16,Pune,31,2,11,0,95,11,0,0,0,0,74   
17,Pune AP(LHG),32,-,14,-,50,-,0,0,0,0,-
18,Sangli,31,0,17,4,80,6,0,0,0,0,67   
19,Satara,33,5,14,1,90,16,0,0,0,0,96   
20,Solapur,32,1,16,0,55,-11,0,0,-1,0,76   
21,Aurangabad,30,1,13,2,45,-17,0,0,0,0,77   
22,Nanded,31,0,13,0,80,14,0,9,7,1,94   
23,Osmanabad,31,-,13,-,45,-,0,0,0,0,82   
24,Parbhani,31,2,12,-2,55,-7,0,3,1,0,97   
25,Akola,30,1,11,-3,60,-4,0,8,2,1,83   
26,Amravati,29,0,12,-3,51,-6,0,0,-4,0,89   
27,Brahmapuri,29,1,12,-1,58,-18,0,0,-4,0,139  
28,Buldhana,-,-,14,-,45,-16,0,0,-3,0,85   
29,Chandrapur,29,0,12,-3,53,-20,0,2,-2,0,128  
30,Nagpur,28,0,8,-5,75,4,0,6,-1,1,113  
31,Wardha,28,0,11,-3,65,6,0,9,6,1,109  
32,Yeotmal,28,0,9,-6,40,-15,0,0,-4,0,109  
33,Ahmedabad,28,0,11,0,58,-10,0,0,-1,0,78   
34,Delhi (PLM),21,0,7,0,85,3,0,0,-1,0,75   
35,Delhi (SFD),21,0,8,0,75,-6,0,0,-7,0,78   
36,Bangalore A.P,29,2,15,0,80,-2,0,0,-2,0,-
37,Hyderabad,31,3,15,-1,43,-33,0,0,-2,0,82   
