,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,2,27,0,85,2,0,16,-7,2,226  
1,Bhira,35,1,25,0,95,9,3,34,-7,3,490  
2,Dahanu,35,1,26,-1,90,13,8,8,-14,1,200  
3,Goa(Panjim),31,-2,25,-1,78,-7,0,36,-32,11.0,294  
4,Harnai,33,2,24,-2,85,2,3,43,-1,4,252  
5,Mumbai (CLB),33,0,25,-1,95,15,20,28,1,2.8,216  
6,Mumbai (SCZ),34,0,25,-1,77,1,0,10,-19,0.96,235  
7,Ratnagiri,32,0,24,-1,80,-2,6,20,-28,4,301  
8,Ahmednagar,33,2,-,,-,-,-,-,-,-,62   
9,Jalgaon,32,-8,23,-4,95,24,10,32,26,6,75   
10,Jeur,34,-4,27,6,70,-8,0,35,17,3,62   
11,Kolhapur,31,-1,23,0,85,2,0,12,-3,7,107  
12,Mahabaleshwar,24,-2,18,1,100,8,2,86,39,15,582  
13,Malegaon,38,9,22,-2,90,24,2,11,3,2,56   
14,Nasik,35,0,22,-1,90,18,2,42,33,8,68   
15,Pune,-,-,21,-,80,7,43,51,31,5,74   
16,Pune AP(LHG),35,-,24,-,80,-,7,13,-11,2,-
17,Sangli,34,1,23,0,80,-2,0,28,5,6,67   
18,Satara,34,2,22,-1,80,4,2,33,8,3,96   
19,Solapur,36,-1,25,1,80,4,0,0,-18,10,76   
20,Aurangabad,34,3,25,1,70,1,0,8,-2,1,77   
21,Nanded,35,-4,23,-1,55,-14,0,31,15,5,94   
22,Osmanabad,31,-,-,,-,-,-,-,-,-,82   
23,Parbhani,36,-3,26,0,65,2,0,18,4,6,97   
24,Akola,32,8,25,-2,90,32,17,17,8,7,83   
25,Amravati,39,0,23,-3,90,29,0,4,-3,4,89   
26,Brahmapuri,39,-2,28,0,80,26,0,3,-6,5,139  
27,Buldhana,-,-,23,-,85,16,0,5,-5,3,85   
28,Chandrapur,44,3,24,-4,55,1,0,50,43,12,128  
29,Nagpur,42,1,28,2,70,5,0,1,-1,5,113  
30,Wardha,41,1,27,1,90,35,0,1,-12,5,109  
31,Yeotmal,38,-1,21,-6,60,5,0,3,-11,8,109  
32,Ahmedabad,41,0,24,-4,70,-2,11,11,3,1.72,78   
33,Delhi (PLM),43,2,31,3,43,-5,0,0,-3,7,75   
34,Bangalore A.P,29,-1,21,1,80,-4,TR,80,60,20,-
35,Hyderabad,34,-3,25,0,70,6,0,55,47,13,82   
