,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,34,2,21,0,85,9,0,87,-7,209,226  
1,Bhira,38,5,23,4,75,0,0,191,33,514,490  
2,Dahanu,31,-1,20,-1,80,14,0,250,190,293,200  
3,Goa(Panjim),33,0,22,0,89,13,0,126,-25,295.06,294  
4,Harnai,32,0,24,0,60,1,0,281,172,313,252  
5,Mumbai (CLB),34,1,23,0,87,8,0,66,-15,243.74,216  
6,Mumbai (SCZ),35,2,20,-1,81,18,0,86,-5,251.91,235  
7,Ratnagiri,35,2,21,-1,60,-1,0,254,107,335,301  
8,Ahmednagar,34,4,12,-3,80,8,0,51,-47,36,62   
9,Jalgaon,33,1,11,-4,45,-18,0,9,-42,110,75   
10,Jeur,32,1,13,-3,53,-18,0,20,-80,21,62   
11,Kolhapur,32,2,19,1,70,0,0,54,-84,88,107  
12,Mahabaleshwar,27,2,15,0,80,16,0,115,-60,654,582  
13,Malegaon,31,0,13,-1,80,15,0,100,32,67,56   
14,Nasik,32,2,12,-1,85,20,0,54,-14,83,68   
15,Pune,33,3,14,0,80,4,0,30,-72,99,74   
16,Pune AP(LHG),33,-,16,-,80,-,0,8,-76,68,-
17,Sangli,33,2,19,2,85,11,0,146,21,59,67   
18,Satara,33,4,16,0,90,14,0,99,-35,91,96   
19,Solapur,35,4,15,-3,65,0,0,130,9,68,76   
20,Aurangabad,33,3,12,-2,60,0,0,108,35,76,77   
21,Nanded,30,-1,13,-2,70,2,0,7,-65,36,94   
22,Osmanabad,33,-,13,-,65,-,0,75,-31,62,82   
23,Parbhani,33,3,12,-5,65,3,0,93,6,122,97   
24,Akola,34,3,13,-4,75,13,0,-,-,-,83   
25,Amravati,31,0,12,-6,45,-9,0,109,-,106,89   
26,Brahmapuri,31,1,15,-1,75,1,0,166,-,223,139  
27,Buldhana,29,1,13,-4,60,-1,0,108,-,117,85   
28,Chandrapur,30,-1,15,-2,85,10,0,169,-,220,128  
29,Nagpur,31,1,12,-3,80,16,0,168,-,167,113  
30,Wardha,31,1,13,-4,60,-2,0,127,-,153,109  
31,Yeotmal,29,0,12,-5,55,1,0,252,-,145,109  
32,Ahmedabad,31,-2,13,-4,55,-4,0,27,2,60.72,78   
33,Delhi (PLM),27,-1,10,-3,75,10,0,27,2,61,75   
34,Delhi (SFD),27,-1,10,-3,70,1,0,68,45,57,78   
35,Bangalore A.P,28,1,18,1,85,6,0,75,-162,84,-
36,Hyderabad,31,2,16,-1,57,-13,0,218,122,95,82   
