,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,0,26,1,80,-8,0,1701,-16,170,226  
1,Bhira,31,1,23,-2,90,3,2,4292,468,429,490  
2,Dahanu,31,1,27,2,80,-7,0,2085,552,208,200  
3,Goa(Panjim),31,1,23,-1,95,4,14,2391,67,246.93,294  
4,Harnai,29,0,25,0,90,1,55,2561,608,256,252  
5,Mumbai (CLB),31,1,27,1,86,-1,0,2022,372,202.17,216  
6,Mumbai (SCZ),31,1,24,-1,83,3,3,2192,412,219.16,235  
7,Ratnagiri,29,0,22,-2,90,1,26,2743,392,277,301  
8,Ahmednagar,29,0,-,,80,-2,0,232,-41,23,62   
9,Jalgaon,29,-2,22,-1,95,7,9,797,285,83,75   
10,Kolhapur,25,-2,21,0,85,-7,5,639,-31,70,107  
11,Mahabaleshwar,18,-2,16,-1,100,1,16,5532,926,586,582  
12,Malegaon,28,-2,22,0,85,4,0,427,124,43,56   
13,Nasik,27,-1,20,-1,95,9,2,523,117,56,68   
14,Pune,29,1,22,1,75,-10,TR,476,61,48,74   
15,Pune AP(LHG),29,-,21,-,75,-,0,461,119,47,-
16,Sangli,28,-1,20,-1,85,-3,1,223,-69,31,67   
17,Satara,26,-1,20,-1,80,5,TR,523,-50,52,96   
18,Solapur,32,1,21,-1,85,3,2,458,103,56,76   
19,Aurangabad,27,-2,22,1,90,5,1,437,10,44,77   
20,Nanded,29,-2,21,-1,75,-6,0,800,216,82,94   
21,Osmanabad,29,-,19,-,80,-,0,653,217,68,82   
22,Parbhani,27,-4,22,-1,85,2,1,804,234,85,97   
23,Akola,26,-5,23,-1,95,11,27,722,195,77,83   
24,Amravati,29,-1,20,-3,95,8,25,739,198,78,89   
25,Brahmapuri,27,-3,22,-1,90,3,13,1914,1013,196,139  
26,Buldhana,24,-3,21,1,98,12,9,753,224,80,85   
27,Chandrapur,24,-7,23,-1,75,-10,10,1491,660,156,128  
28,Nagpur,-,-,23,-,100,14,32,1316,628,136,113  
29,Wardha,26,-6,20,-3,95,9,10,1282,590,138,109  
30,Yeotmal,24,-5,23,1,95,10,6,918,228,100,109  
31,Ahmedabad,33,-1,25,0,83,-5,0,740,199,74.67,78   
32,Delhi (PLM),32,-2,26,0,90,8,0,434,-64,51,75   
33,Delhi (SFD),33,-1,25,-1,90,11,TR,664,260,78,78   
34,Bangalore A.P,29,1,20,0,85,-4,0,311,77,43,-
35,Hyderabad,29,-1,22,0,75,-7,TR,484,109,56,82   
