,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,2,25,0,85,-3,1,1751,-173,175,226  
1,Bhira,32,4,23,0,95,-3,18,4555,205,455,490  
2,Dahanu,32,2,25,0,85,-2,TR,2168,433,217,200  
3,Goa(Dabolim),30,-,24,-,90,-,13,2020,-298,205,275  
4,Goa(Panjim),31,1,23,-1,93,2,5,2456,-40,253.48,294  
5,Harnai,30,1,24,0,85,-3,7,2635,461,263,252  
6,Mumbai (CLB),33,3,25,0,93,6,2,2068,219,206.76,216  
7,Mumbai (SCZ),32,2,25,0,89,3,1,2252,228,225.21,235  
8,Ratnagiri,30,1,23,-2,80,-10,1,2779,177,280,301  
9,Ahmednagar,31,1,-,,80,0,0,232,-92,23,62   
10,Jalgaon,33,2,22,-1,80,-7,0,845,249,87,75   
11,Jeur,34,1,27,8,55,-27,0,101,-222,10,62   
12,Kolhapur,29,2,21,0,90,0,TR,643,-89,70,107  
13,Mahabaleshwar,20,0,16,0,100,1,7,5720,504,605,582  
14,Malegaon,31,1,19,-2,90,9,0,483,121,49,56   
15,Nasik,27,-1,19,-1,90,4,0,560,101,60,68   
16,Pune,30,2,20,-1,80,-3,0,483,24,49,74   
17,Pune AP(LHG),32,-,20,-,80,-,0,471,91,48,-
18,Sangli,33,4,20,-1,90,2,4,234,-91,32,67   
19,Satara,30,3,19,-1,90,6,0,530,-93,53,96   
20,Solapur,35,3,23,2,80,1,2,471,48,57,76   
21,Aurangabad,30,0,21,0,75,-9,0,457,-59,46,77   
22,Nanded,33,2,23,1,75,-4,0,821,-348,84,94   
23,Osmanabad,-,-,19,-,85,-,13,682,159,71,82   
24,Parbhani,33,2,22,0,80,-2,0,-,-,-,97   
25,Akola,33,2,23,0,75,-6,0,747,-,85,83   
26,Amravati,33,2,20,-3,80,-4,0,765,-,82,89   
27,Brahmapuri,34,4,25,2,80,-6,0,1919,-,194,139  
28,Buldhana,30,2,21,1,90,5,0,776,-,83,85   
29,Chandrapur,35,4,25,1,80,-2,0,1889,-,196,128  
30,Nagpur,33,2,24,1,80,-4,0,1336,-,140,113  
31,Wardha,34,4,23,1,85,1,0,1260,-,138,109  
32,Yeotmal,30,0,23,1,80,-1,0,956,-,104,109  
33,Ahmedabad,35,2,24,-1,92,6,9,758,103,76.48,78   
34,Delhi (PLM),35,0,26,1,65,-13,0,444,-131,51,75   
35,Delhi (SFD),35,1,25,-1,50,-26,0,678,191,80,78   
36,Bangalore A.P,28,0,21,1,85,-2,0,437,160,56,-
37,Hyderabad,33,3,24,2,75,-5,0,510,53,58,82   
