,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,29,-1,18,1,70,-5,0,91,-11,209,226  
1,Bhira,33,1,-,,-,-,-,-,-,-,490  
2,Dahanu,25,-3,19,1,40,-25,0,251,182,293,200  
3,Goa(Panjim),33,1,19,-1,83,10,0,126,-43,295.09,294  
4,Harnai,28,-1,21,-1,75,19,0,281,157,313,252  
5,Mumbai (CLB),27,-4,20,0,62,-15,0,73,-13,244.43,216  
6,Mumbai (SCZ),30,-1,18,-1,70,4,0,86,-13,251.91,235  
7,Ratnagiri,31,-1,17,-2,85,27,0254,92,335,-,301  
8,Ahmednagar,31,1,12,1,85,18,0,51,-67,36,62   
9,Jalgaon,31,1,14,3,73,3,0,9,-58,110,75   
10,Jeur,29,-2,8,-4,75,6,0,20,-96,21,62   
11,Kolhapur,29,-1,16,1,83,11,0,58,-91,89,107  
12,Mahabaleshwar,25,0,13,0,85,12,0,152,-43,657,582  
13,Malegaon,30,1,15,5,75,8,0,101,18,67,56   
14,Nasik,29,1,14,3,95,26,0,55,-27,83,68   
15,Pune,29,1,13,3,5,11,0,46,-70,101,74   
16,Pune AP(LHG),29,-,15,-,99,-,0,15,-87,68,-
17,Sangli,29,-2,15,1,80,8,0,151,13,60,67   
18,Satara,-,-,13,-,95,21,0,108,-44,92,96   
19,Solapur,30,0,16,1,70,4,0,132,1,68,76   
20,Aurangabad,27,0,15,0,80,18,0,178,78,83,77   
21,Nanded,29,0,13,1,80,13,0,39,-42,117,94   
22,Osmanabad,28,-,12,-,75,-,0,88,-25,100,82   
23,Parbhani,29,0,13,0,80,19,0,105,4,124,97   
24,Akola,31,2,17,4,71,9,0,61,-14,101,83   
25,Amravati,27,2,11,-3,74,22,0,109,-,100,89   
26,Brahmapuri,30,2,15,2,80,2,0,116,-,217,139  
27,Buldhana,27,0,16,2,70,14,0,108,-,114,85   
28,Chandrapur,27,-2,15,2,72,-1,0,164,-,176,128  
29,Nagpur,29,1,14,2,85,16,0,157,-,162,113  
30,Wardha,28,0,14,1,93,35,0,125,-,154,109  
31,Yeotmal,28,0,14,-1,65,10,0,108,-,124,109  
32,Ahmedabad,28,0,8,-4,79,14,0,63,35,101.31,78   
33,Delhi (PLM),18,-3,6,-1,69,-15,0,27,-10,61,75   
34,Delhi (SFD),17,-4,5,-2,95,13,0,68,37,57,78   
35,Bangalore A.P,27,1,15,-1,84,1,0,104,-158,87,-
36,Hyderabad,27,-1,15,0,85,11,0,231,121,97,82   
