,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,29,-2,25,1,90,0,3,1964,-111,196,226  
1,Bhira,-,-,23,-,95,9,8,4906,285,491,490  
2,Dahanu,27,-4,23,-2,93,11,84,2663,791,266,200  
3,Goa(Dabolim),30,-,-,-,-,-,2,2294,-180,233,275  
4,Goa(Panjim),30,0,23,-1,89,1,4,2663,38,274.12,294  
5,Harnai,28,-1,21,-3,90,1,54,2777,466,278,252  
6,Mumbai (CLB),27,-4,25,0,87,-3,4,2295,294,229.47,216  
7,Mumbai (SCZ),28,-3,24,0,69,-17,33,2411,227,241.11,235  
8,Ratnagiri,30,0,23,-1,85,2,0,301,-126,30,301  
9,Ahmednagar,30,-1,21,0,85,2,0,301,-126,30,62   
10,Jalgaon,30,-4,17,-5,80,-1,0,1051,401,108,75   
11,Jeur,30,-3,24,5,70,-15,0,186,-240,19,62   
12,Kolhapur,28,-2,22,1,85,-4,TR,765,-37,82,107  
13,Mahabaleshwar,19,-5,16,-1,100,10,33,6031,565,636,582  
14,Malegaon,25,-7,19,-2,85,3,0,565,138,57,56   
15,Nasik,23,-8,21,1,90,5,4,734,199,77,68   
16,Pune,28,-2,21,0,80,-5,TR,696,164,70,74   
17,Pune AP(LHG),29,-,22,-,90,-,0,662,200,67,-
18,Sangli,30,-1,20,-1,90,2,0,361,-45,45,67   
19,Satara,26,-3,21,0,85,0,1,804,107,81,96   
20,Solapur,32,0,23,1,80,-1,3,590,58,69,76   
21,Aurangabad,28,-3,22,1,85,7,0,632,36,63,77   
22,Nanded,-,-,20,-,85,7,0,1028,238,105,94   
23,Osmanabad,29,-,19,-,90,-,0,886,253,91,82   
24,Parbhani,32,-1,22,0,70,-9,0,1090,294,113,97   
25,Akola,31,-2,22,-1,75,-2,0,855,-,95,83   
26,Amravati,28,-5,20,-3,85,9,0,896,-,95,89   
27,Brahmapuri,-,-,25,-,75,-9,0,2011,-,204,139  
28,Buldhana,28,-2,21,0,85,5,0,1005,-,106,85   
29,Chandrapur,30,-3,22,-2,95,15,0,1779,-,184,128  
30,Nagpur,32,-1,23,0,85,8,0,1451,-,152,113  
31,Wardha,33,0,23,0,90,12,0,1298,-,141,109  
32,Yeotmal,29,-3,21,-1,75,0,0,1104,-,119,109  
33,Ahmedabad,30,-5,25,1,98,18,81,903,174,90.91,78   
34,Delhi (PLM),37,2,26,3,80,8,0,508,-,58,75   
35,Delhi (SFD),36,2,25,1,75,5,0,711,143,83,78   
36,Bangalore A.P,29,1,19,-1,90,2,0,645,293,77,-
