,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,26,-5,24,-1,95,6,73,2679,646,269,226  
1,Bhira,-,-,23,-,95,0,45,4947,385,495,490  
2,Dahanu,29,-2,25,0,97,12,111,3817,1986,382,200  
3,Goa(Panjim),30,0,24,0,95,6,9,2723,116,272.90,294  
4,Harnai,27,-2,23,-2,95,8,219,6574,4287,658,252  
5,Mumbai (CLB),26,-5,24,-1,100,12,146,2279,314,228.25,216  
6,Mumbai (SCZ),26,-5,23,-2,95,11,104,2752,611,276.20,235  
7,Ratnagiri,27,-3,22,-2,97,10,39,-,-,-,301  
8,Ahmednagar,-,-,19,-,90,9,11,407,5,41,62   
9,Jalgaon,31,-3,23,0,95,12,21,701,63,70,75   
10,Jeur,-,-,20,-,95,11,30,136,-272,22,62   
11,Kolhapur,26,-4,20,-1,90,2,13,1101,315,111,107  
12,Mahabaleshwar,20,-3,17,1,99,5,106,-,-,-,582  
13,Malegaon,31,-2,23,2,95,14,12,408,-2,43,56   
14,Nasik,29,-1,21,1,95,11,11,997,480,103,68   
15,Pune,27,-3,22,1,95,11,4,559,42,58,74   
16,Pune AP(LHG),27,-,22,-,95,-,4,610,169,62,-
17,Sangli,26,-5,19,-2,90,2,11,644,253,66,67   
18,Satara,28,-1,20,0,95,13,25,782,107,82,96   
19,Solapur,29,-4,21,-1,97,16,6,524,14,59,76   
20,Aurangabad,29,-2,23,2,85,7,0,723,144,82,77   
21,Nanded,30,-3,21,-1,90,14,21,849,75,85,94   
22,Osmanabad,27,-,17,-,99,-,46,584,-25,62,82   
23,Parbhani,31,-2,23,0,95,16,40,832,59,84,97   
24,Akola,32,-1,24,0,89,13,TR,875,-,90,83   
25,Amravati,32,-1,22,-1,83,6,TR,837,-,87,89   
26,Brahmapuri,32,0,25,2,83,0,TR,979,-,104,139  
27,Buldhana,28,-2,22,1,96,13,1,565,-,60,85   
28,Chandrapur,33,0,25,1,72,-8,0,1247,-,131,128  
29,Nagpur,33,0,25,2,79,2,0,741,-,78,113  
30,Wardha,32,0,25,-2,86,7,0,983,-,105,109  
31,Yeotmal,30,-2,22,0,78,2,0,952,-,99,109  
32,Ahmedabad,35,0,24,-1,95,15,13,613,-107,61.88,78   
33,Delhi (PLM),38,3,25,1,70,-3,1,528,-123,57,75   
34,Delhi (SFD),37,3,26,1,85,14,0,512,-45,57,78   
35,Bangalore A.P,27,-1,19,-1,90,2,TR,671,324,81,-
36,Hyderabad,27,-4,22,0,90,11,10,-,-,-,82   
