,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-1,24,-1,95,8,8,165,109,316,226  
1,Bhira,32,0,23,0,95,3,TR,81,17,513,490  
2,Dahanu,32,0,25,1,90,10,0,112,90,402,200  
3,Goa(Panjim),31,0,24,0,89,1,TR,7,-51,283.21,294  
4,Harnai,29,0,24,-1,90,7,0,282,237,730,252  
5,Mumbai (CLB),31,-1,25,0,85,-2,0,67,25,257.81,216  
6,Mumbai (SCZ),32,0,23,-1,83,2,0,79,35,298.32,235  
7,Ratnagiri,31,0,24,0,90,7,0,41,-17,405,301  
8,Ahmednagar,-,-,17,-,85,10,0,68,37,48,62   
9,Jalgaon,32,-3,23,3,90,16,0,26,10,76,75   
10,Jeur,31,-2,21,2,85,9,0,2,-29,25,62   
11,Kolhapur,30,0,21,0,90,7,0,0,3,47,107  
12,Mahabaleshwar,21,-3,16,-1,95,15,TR,149,83,685,582  
13,Malegaon,31,-2,22,3,90,18,0,59,33,51,56   
14,Nasik,29,-3,21,2,90,16,0,41,18,109,68   
15,Pune,30,-,20,-,85,3,0,34,-1,63,74   
16,Pune AP(LHG),34,-,23,-,80,-,0,3,-29,65,-
17,Sangli,31,-1,20,-1,90,6,0,1,-44,71,67   
18,Satara,30,0,20,0,85,6,0,57,17,91,96   
19,Solapur,32,0,22,0,85,11,0,68,29,79,76   
20,Aurangabad,30,-2,23,3,85,19,0,31,11,89,77   
21,Osmanabad,30,-,-,-,-,-,-,-,-37,76,82   
22,Parbhani,31,-2,23,2,90,19,0,46,15,99,97   
23,Akola,32,-2,24,2,88,19,0,73,-,99,83   
24,Amravati,29,-5,22,1,90,22,4,38,-,97,89   
25,Brahmapuri,33,0,23,1,83,1,87,131,-,135,139  
26,Buldhana,29,-2,22,1,92,22,0,40,-,73,85   
27,Chandrapur,34,1,23,0,90,12,3,28,-,151,128  
28,Nagpur,32,-1,23,2,97,24,1,35,-,89,113  
29,Wardha,33,0,23,1,94,23,10,34,-,109,109  
30,Yeotmal,31,-1,20,-2,90,23,3,36,-,110,109  
31,Ahmedabad,33,-3,25,2,90,19,0,99,90,72.42,78   
32,Delhi (PLM),36,1,24,3,80,14,0,8,-6,58,75   
33,Delhi (SFD),35,1,23,2,85,20,0,0,-13,57,78   
34,Bangalore A.P,30,2,19,-1,80,-6,0,0,-76,83,-
35,Hyderabad,31,0,23,2,95,18,7,19,-5,103,82   
