,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,28,-3,24,0,95,6,39,2397,403,241,226  
1,Bhira,26,-4,24,1,95,-1,18,4501,-5,450,490  
2,Dahanu,28,-3,24,-1,98,12,347,3076,1281,308,200  
3,Goa(Panjim),30,0,24,0,98,8,39,2662,99,266.88,294  
4,Harnai,28,-1,24,-1,95,8,101,5787,3542,579,252  
5,Mumbai (CLB),26,-5,25,0,100,12,56,1902,-23,190.55,216  
6,Mumbai (SCZ),27,-4,23,-1,93,8,81,2340,238,235.02,235  
7,Ratnagiri,29,-1,23,0,98,12,17,3464,793,347,301  
8,Jalgaon,32,-1,22,0,90,5,11,597,-29,60,75   
9,Jeur,25,-8,19,-1,75,-7,10,96,-265,18,62   
10,Kolhapur,26,-3,21,1,95,7,TR,1059,302,107,107  
11,Mahabaleshwar,19,-3,17,1,100,5,11,5765,397,580,582  
12,Malegaon,32,0,22,1,90,9,23,245,-145,27,56   
13,Nasik,28,-1,22,2,95,10,6,97,478,100,68   
14,Pune,25,-5,22,2,90,7,3,521,37,54,74   
15,Pune AP(LHG),24,-,22,-,100,-,5,546,141,55,-
16,Sangli,27,-5,21,0,95,8,4,623,266,64,67   
17,Satara,27,-3,22,2,90,9,1,724,81,76,96   
18,Solapur,26,-7,21,-1,95,16,29,483,10,55,76   
19,Aurangabad,30,-1,23,1,99,19,49,678,121,77,77   
20,Nanded,29,-5,23,2,-,-,55,773,36,77,94   
21,Osmanabad,24,-,19,-,95,-,15,538,-38,58,82   
22,Parbhani,28,-4,22,0,95,15,60,739,-1,74,97   
23,Akola,33,1,24,1,96,19,13,823,-,85,83   
24,Amravati,27,-5,21,-2,98,19,5,776,-,81,89   
25,Brahmapuri,34,3,26,3,87,2,1,971,-,103,139  
26,Buldhana,31,2,22,1,96,13,8,533,-,57,85   
27,Chandrapur,31,-1,24,0,93,12,3,1238,-,130,128  
28,Nagpur,32,0,25,2,83,3,0,731,-,77,113  
29,Wardha,32,1,25,2,86,5,0,914,-,98,109  
30,Yeotmal,29,-2,25,2,83,5,16,945,-,99,109  
31,Ahmedabad,37,3,26,1,85,2,3,554,-157,55.90,78   
32,Delhi (PLM),32,1,25,2,86,5,0,914,-,98,75   
33,Delhi (SFD),35,1,25,0,80,6,0,512,-17,57,78   
34,Bangalore A.P,29,0,20,0,85,-2,13,671,359,81,-
35,Hyderabad,27,-4,22,0,85,7,3,621,110,75,82   
