,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,31,1,25,0,95,6,4,1199,231,121,226  
1,Bhira,-,-,24,-,100,2,37,2171,398,217,490  
2,Dahanu,32,2,25,0,90,0,12,1204,358,121,200  
3,Goa(Panjim),32,3,26,2,89,-2,TR,1545,163,155.12,294  
4,Harnai,31,2,24,-1,80,-9,8,3069,1948,307,252  
5,Mumbai (CLB),30,0,26,1,92,3,10,833,-127,83.69,216  
6,Mumbai (SCZ),31,1,26,1,79,-9,2,1096,144,110.57,235  
7,Ratnagiri,30,1,26,2,95,6,13,1910,559,191,301  
8,Ahmednagar,29,-1,24,3,95,14,0,205,54,21,62   
9,Jalgaon,32,0,24,0,85,1,0,334,86,33,75   
10,Kolhapur,28,1,22,0,90,-1,TR,653,308,67,107  
11,Mahabaleshwar,20,0,17,1,100,1,40,2527,523,257,582  
12,Malegaon,30,0,-,,-,-,-,-,-,-,56   
13,Nasik,28,0,22,0,85,-1,1,436,239,46,68   
14,Pune,27,-1,21,-1,85,1,1,269,36,29,74   
15,Pune AP(LHG),27,-,21,-,90,-,TR,309,126,32,-
16,Sangli,29,1,23,1,90,2,0,409,241,42,67   
17,Satara,26,0,21,0,90,5,1,349,27,39,96   
18,Solapur,35,4,23,1,65,17,0,131,-49,20,76   
19,Aurangabad,29,-1,22,1,80,-4,TR,370,159,47,77   
20,Nanded,33,0,24,1,80,1,0,-,-,-,94   
21,Parbhani,32,1,23,0,70,-10,0,301,40,31,97   
22,Akola,34,2,25,1,70,-10,0,456,-,48,83   
23,Amravati,32,1,22,-1,84,1,0,360,-,39,89   
24,Brahmapuri,34,4,26,3,76,-10,0,456,-,51,139  
25,Buldhana,31,3,23,2,82,-3,0,295,-,33,85   
26,Chandrapur,31,0,24,0,91,5,5,365,-,46,128  
27,Nagpur,34,3,25,1,83,-1,TR,454,-,49,113  
28,Wardha,33,2,25,2,77,-6,0,503,-,57,109  
29,Yeotmal,31,1,23,0,71,-13,0,479,-,52,109  
30,Ahmedabad,34,1,26,0,80,-8,TR,135,-107,13.99,78   
31,Delhi (PLM),33,-1,25,-1,85,3,42,158,-11,20,75   
32,Delhi (SFD),33,-1,25,-2,100,19,43,183,40,24,78   
33,Bangalore A.P,29,1,21,1,85,-3,2,298,175,43,-
34,Hyderabad,34,3,24,1,75,-5,0,168,-13,30,82   
