,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,27,-3,24,-1,93,5,63,2288,498,230,226  
1,Bhira,-,-,23,-,95,-3,35,4203,175,420,490  
2,Dahanu,28,-2,25,0,95,7,41,2578,989,258,200  
3,Goa(Panjim),30,1,24,0,98,7,7,2558,171,256.48,294  
4,Harnai,29,0,23,-1,96,7,54,5333,3293,534,252  
5,Mumbai (CLB),26,-4,24,-1,98,9,55,1722,1,172.59,216  
6,Mumbai (SCZ),26,-4,24,-1,95,8,52,2139,275,214.89,235  
7,Ratnagiri,29,0,24,0,97,6,53,3336,885,334,301  
8,Jalgaon,33,2,24,1,85,-3,1,535,-4,54,75   
9,Jeur,33,1,22,2,80,-4,0,48,-238,13,62   
10,Kolhapur,27,0,21,0,90,-2,TR,1048,354,106,107  
11,Mahabaleshwar,20,0,16,0,99,0,19,5514,681,555,582  
12,Malegaon,34,4,23,2,85,4,9,208,-113,23,56   
13,Nasik,29,1,22,1,90,4,0,955,533,98,68   
14,Pune,27,-1,22,1,85,-1,0,512,81,53,74   
15,Pune AP(LHG),28,-,22,-,90,-,0,521,167,51,-
16,Sangli,28,-1,21,0,85,-3,0,599,296,61,67   
17,Satara,28,-1,21,0,95,10,3,719,126,76,96   
18,Solapur,33,2,23,1,85,4,1,387,12,46,76   
19,Aurangabad,32,3,23,2,90,4,16,582,129,68,77   
20,Nanded,34,3,23,1,95,14,0,408,-214,41,94   
21,Osmanabad,31,-,18,-,85,-,23,396,-72,44,82   
22,Parbhani,33,2,24,1,93,11,14,589,-26,59,97   
23,Akola,34,3,25,1,90,7,TR,772,-,80,83   
24,Amravati,30,0,23,0,86,1,TR,643,-,67,89   
25,Brahmapuri,31,0,26,3,78,-8,3,729,-,79,139  
26,Buldhana,31,4,22,1,92,5,0,505,-,54,85   
27,Chandrapur,33,2,25,1,78,-5,1,1101,-,117,128  
28,Nagpur,32,1,25,1,85,2,TR,666,-,71,113  
29,Wardha,31,0,25,1,82,-3,0,853,-,92,109  
30,Yeotmal,32,3,23,0,85,2,0,831,-,87,109  
31,Ahmedabad,33,1,26,1,89,2,TR,518,-58,52.32,78   
32,Delhi (PLM),36,2,28,3,80,-1,0,449,-78,49,75   
33,Delhi (SFD),36,2,27,1,85,7,0,411,-25,47,78   
34,Bangalore A.P,28,0,21,1,85,-4,7,532,278,67,-
35,Hyderabad,35,5,21,-1,85,3,31,434,32,57,82   
