,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,0,18,0,90,16,0,165,63,316,226  
1,Bhira,37,5,14,-3,85,10,0,81,-95,513,490  
2,Dahanu,30,1,17,-1,72,8,0,112,44,402,200  
3,Goa(Panjim),33,1,18,-3,70,-3,0,158,-10,298.24,294  
4,Harnai,29,-1,19,-3,70,13,0,285,162,730,252  
5,Mumbai (CLB),31,-3,21,1,96,20,0,67,-19,257.81,216  
6,Mumbai (SCZ),33,1,16,-2,86,20,0,79,-20,298.32,235  
7,Ratnagiri,33,1,16,-4,75,18,0,137,-25,415,301  
8,Jalgaon,31,1,8,-4,65,-3,0,30,-37,76,75   
9,Jeur,31,0,10,-3,50,-16,0,0,-114,47,62   
10,Kolhapur,31,2,13,-1,67,-3,0,37,-113,117,107  
11,Mahabaleshwar,30,5,16,2,40,-20,0,174,-20,687,582  
12,Malegaon,33,3,10,-1,65,-1,0,63,-19,51,56   
13,Nasik,33,5,9,-1,65,-3,0,41,-41,110,68   
14,Pune,33,4,9,-2,85,4,0,81,-35,67,74   
15,Pune AP(LHG),33,-,11,-,55,-,0,21,-80,67,-
16,Sangli,32,1,11,-2,67,-6,0,15,-122,72,67   
17,Satara,33,5,10,-3,60,-13,0,57,-95,91,96   
18,Solapur,33,3,11,-5,42,-23,0,71,-59,80,76   
19,Aurangabad,33,4,10,-1,75,14,0,32,-67,89,77   
20,Nanded,33,2,11,-1,80,12,0,70,-10,100,94   
21,Osmanabad,33,-,-,,-,-,-,-,-,-,82   
22,Parbhani,31,2,10,-4,55,-5,0,100,0,105,97   
23,Akola,33,4,10,-3,60,-4,0,102,-,102,83   
24,Amravati,30,1,11,-4,56,2,0,59,-,99,89   
25,Brahmapuri,29,1,11,-1,49,-25,0,157,-,138,139  
26,Buldhana,31,4,13,-2,42,-14,0,41,-,73,85   
27,Chandrapur,31,1,10,-3,75,2,0,64,-,155,128  
28,Nagpur,31,3,9,-13,74,6,0,75,-,93,113  
29,Wardha,33,4,10,-4,82,24,0,46,-,110,109  
30,Yeotmal,31,3,11,-4,53,3,0,44,-,111,109  
31,Ahmedabad,33,4,11,-2,89,25,0,99,71,72.42,78   
32,Delhi (PLM),23,2,9,1,-,-,0,8,-26,58,75   
33,Delhi (SFD),25,4,8,0,95,15,0,0,-31,57,78   
34,Bangalore A.P,30,4,14,-1,70,-14,0,115,-147,94,-
35,Hyderabad,32,4,11,-3,80,8,0,42,-67,105,82   
