,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-2,24,1,95,12,0,165,90,316,226  
1,Bhira,34,1,25,3,95,8,0,81,-17,513,490  
2,Dahanu,31,-1,23,-1,80,4,0,112,70,402,200  
3,Goa(Panjim),31,0,25,1,97,11,0,157,77,298.24,294  
4,Harnai,30,-1,23,-1,80,4,0,285,214,730,252  
5,Mumbai (CLB),30,-2,25,0,84,-1,0,67,9,257.81,216  
6,Mumbai (SCZ),33,0,22,-1,81,5,0,79,14,298.32,235  
7,Ratnagiri,31,-2,23,0,95,17,0,137,51,415,301  
8,Ahmednagar,-,-,-,-,-,-,-,68,13,48,62   
9,Jalgaon,32,-3,18,-2,80,9,0,30,-1,76,75   
10,Jeur,33,-1,19,1,70,-5,0,0,-50,25,62   
11,Kolhapur,31,0,21,1,90,12,0,23,-46,116,107  
12,Mahabaleshwar,26,0,17,0,85,13,0,159,55,686,582  
13,Malegaon,33,-1,17,-1,85,17,0,63,27,51,56   
14,Nasik,31,-1,16,-1,80,9,0,41,3,109,68   
15,Pune,31,-1,21,3,70,8,0,81,28,67,74   
16,Pune AP(LHG),35,-,24,-,70,-,0,21,-21,67,-
17,Sangli,33,0,19,-1,90,10,0,5,-66,71,67   
18,Satara,31,0,20,2,90,17,0,57,-2,91,96   
19,Solapur,34,1,20,1,65,3,0,70,7,80,76   
20,Aurangabad,30,-2,19,0,70,8,0,32,-4,89,77   
21,Nanded,33,-1,-,,-,-,-,70,31,100,94   
22,Osmanabad,-,-,-,-,-,-,-,60,0,76,82   
23,Parbhani,33,0,20,-1,85,17,0,100,50,105,97   
24,Akola,33,-1,19,-2,79,14,0,102,-,102,83   
25,Amravati,32,-5,15,-5,61,-2,0,59,-,99,89   
26,Brahmapuri,33,0,21,0,60,-19,0,157,-,138,139  
27,Buldhana,30,-1,18,-3,58,-7,0,41,-,73,85   
28,Chandrapur,34,1,19,-2,82,6,0,64,-,155,128  
29,Nagpur,34,1,15,-5,66,-2,0,75,-,93,113  
30,Wardha,34,1,17,-4,80,13,0,46,-,110,109  
31,Yeotmal,31,1,17,4,66,5,0,44,-,111,109  
32,Ahmedabad,33,-3,22,-1,84,16,0,99,85,72.42,78   
33,Delhi (PLM),36,2,20,0,55,-10,0,8,9,58,75   
34,Delhi (SFD),35,2,19,-1,70,5,0,0,-17,57,78   
35,Bangalore A.P,27,-2,21,2,90,8,0,19,-102,84,-
36,Hyderabad,33,2,18,-3,40,-30,0,38,1,105,82   
