,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,30,-3,21,-2,85,5,0,165,79,316,226  
1,Bhira,-,-,20,-,90,8,0,81,-44,513,490  
2,Dahanu,30,-3,20,-3,70,0,0,112,60,402,200  
3,Goa(Panjim),31,-2,23,-1,97,16,0,157,39,298.24,294  
4,Harnai,28,-3,21,-3,75,5,0,285,195,730,252  
5,Mumbai (CLB),30,-3,22,-2,75,-6,0,67,-3,257.81,216  
6,Mumbai (SCZ),31,-2,19,-4,78,10,0,79,-1,298.32,235  
7,Ratnagiri,31,-2,21,-3,85,14,0,137,18,415,301  
8,Ahmednagar,-,-,17,-,55,-14,0,68,-10,48,62   
9,Jalgaon,32,-2,17,-1,75,9,0,30,-8,76,75   
10,Jeur,33,0,21,-3,80,7,0,0,-75,25,62   
11,Kolhapur,31,0,20,0,70,-8,0,23,-78,116,107  
12,Mahabaleshwar,25,0,15,-1,70,0,0,174,34,687,582  
13,Malegaon,34,1,15,-1,75,9,0,63,11,51,56   
14,Nasik,30,-2,13,-3,75,9,0,41,-11,109,68   
15,Pune,31,0,17,-1,90,13,0,81,2,67,74   
16,Pune AP(LHG),36,-,21,-,75,-,0,21,-45,67,-
17,Sangli,33,1,19,-1,85,7,0,5,-93,71,67   
18,Satara,31,1,18,0,80,7,0,57,-38,91,96   
19,Solapur,33,0,19,-1,70,0,0,70,-24,80,76   
20,Aurangabad,32,0,17,-1,60,-2,0,32,-22,89,77   
21,Nanded,33,0,18,-1,75,5,0,70,14,100,94   
22,Osmanabad,31,-,-,-,-,-,0,60,-27,76,82   
23,Parbhani,33,1,17,-3,65,-2,0,100,26,105,97   
24,Akola,33,0,17,-3,65,-1,0,102,-,102,83   
25,Amravati,-,-,15,-,63,8,0,59,-,99,89   
26,Brahmapuri,33,1,21,1,61,-17,0,157,-,138,139  
27,Buldhana,29,4,17,-1,56,-6,0,41,-,73,85   
28,Chandrapur,34,2,19,-1,74,-1,0,64,-,155,128  
29,Nagpur,34,2,18,0,61,-8,0,75,-,93,113  
30,Wardha,34,2,18,-1,76,10,0,46,-,110,109  
31,Yeotmal,31,-1,16,-3,69,12,0,44,-,111,109  
32,Ahmedabad,33,-2,20,0,72,10,0,99,83,72.42,78   
33,Delhi (PLM),33,1,19,3,-,-,0,8,-11,58,75   
34,Delhi (SFD),33,1,18,1,75,11,0,0,-21,57,78   
35,Bangalore A.P,-,-,19,-,60,-23,0,19,-157,84,-
36,Hyderabad,32,1,18,-2,65,-7,0,38,-29,105,82   
