,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,32,-1,27,1,87,10,0,9,6,1,226  
1,Bhira,41,3,27,2,84,5,0,0,-9,0,490  
2,Dahanu,35,1,29,1,76,4,0,3,1,0,200  
3,Goa(Panjim),35,2,29,2,79,4,0,0,-33,0.01,294  
4,Harnai,34,3,25,-1,76,2,0,4,-6,TR,252  
5,Mumbai (CLB),33,-1,28,1,85,11,0,0,-5,0,216  
6,Mumbai (SCZ),34,1,28,1,75,5,0,10,4,1.0,235  
7,Ratnagiri,35,2,27,1,79,6,0,0,-9,TR,301  
8,Jalgaon,45,3,28,0,62,2,0,2,-9,0,75   
9,Jeur,-,-,26,-,57,-5,0,0,-22,0,62   
10,Kolhapur,41,6,25,3,74,-3,0,12,-49,1,107  
11,Mahabaleshwar,34,4,21,3,47,18,0,39,-20,4,582  
12,Malegaon,42,2,29,5,35,-15,0,25,12,2,56   
13,Nasik,40,3,25,3,55,-4,0,29,12,3,68   
14,Pune,41,4,26,3,33,-27,0,21,-13,2,74   
15,Pune AP(LHG),42,-,26,-,32,-,0,8,-26,1,-
16,Sangli,42,6,25,3,76,1,0,12,-42,1,67   
17,Satara,41,6,26,3,57,-3,0,12,-31,4,96   
18,Solapur,43,2,28,3,55,-12,0,60,30,6,76   
19,Aurangabad,42,3,28,4,52,1,0,72,58,7,77   
20,Nanded,43,2,31,5,60,13,0,0,-27,0,94   
21,Osmanabad,43,-,24,-,65,-,0,9,-15,1,82   
22,Parbhani,45,3,30,3,43,1,0,4,-22,TR,97   
23,Akola,46,4,31,2,27,16,0,24,-,2,83   
24,Amravati,44,2,31,4,46,3,0,26,-,3,89   
25,Brahmapuri,44,2,31,3,58,16,0,42,-,5,139  
26,Buldhana,43,5,30,5,36,16,0,34,-,3,85   
27,Chandrapur,44,1,31,3,54,15,0,63,-,7,128  
28,Nagpur,46,3,32,4,61,28,0,22,-,4,113  
29,Wardha,46,3,33,6,46,9,0,42,-,6,109  
30,Yeotmal,44,2,30,3,45,7,0,40,-,3,109  
31,Ahmedabad,45,4,30,3,49,-18,0,4,-5,0.44,78   
32,Delhi (PLM),45,5,-,,-,-,-,-,-,-,75   
33,Delhi (SFD),43,4,29,3,20,-22,0,35,7,3,78   
34,Bangalore A.P,29,4,23,2,75,-1,TR,123,33,12,-
35,Hyderabad,36,-3,27,0,66,17,0,115,65,12,82   
