,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,27,-2,24,-1,85,-3,38,1375,301,139,226  
1,Bhira,25,-2,23,1,95,-2,60,2410,353,241,490  
2,Dahanu,28,-2,35,-1,95,17,36,1290,335,129,200  
3,Goa(Panjim),27,-1,24,-1,98,7,73,1783,269,178.98,294  
4,Harnai,28,-1,23,-2,95,6,184,3471,224,348,252  
5,Mumbai (CLB),27,-3,25,-1,97,8,53,983,-79,98.72,216  
6,Mumbai (SCZ),27,-3,24,-1,84,-2,64,1245,156,125.55,235  
7,Ratnagiri,27,-2,24,0,95,5,106,2118,640,212,301  
8,Ahmednagar,-,-,22,-,85,3,10,215,48,22,62   
9,Jalgaon,28,-4,23,-1,85,-1,13,357,81,36,75   
10,Jeur,-,-,23,-,95,13,5,51,-114,8,62   
11,Kolhapur,25,-1,21,0,95,2,1,672,283,68,107  
12,Mahabaleshwar,19,-1,17,0,100,1,52,2704,357,274,582  
13,Malegaon,26,-4,22,0,85,5,7,133,-49,16,56   
14,Nasik,25,-3,21,-1,95,10,13,456,230,48,68   
15,Pune,27,-1,22,0,90,5,1,271,11,29,74   
16,Pune AP(LHG),26,-,21,-,95,-,3,313,109,32,-
17,Sangli,26,-2,21,-1,95,6,2,421,236,43,67   
18,Satara,29,3,21,0,90,5,1,354,-11,39,96   
19,Solapur,30,-2,22,-1,85,3,7,137,-61,21,76   
20,Aurangabad,27,-3,22,0,85,0,TR,371,141,47,77   
21,Nanded,29,-4,23,0,95,16,0,312,19,31,94   
22,Osmanabad,-,-,18,-,90,-,2,221,-19,26,82   
23,Parbhani,28,-3,23,1,80,-1,4,306,20,31,97   
24,Akola,30,-2,25,1,79,-3,TR,463,-,49,83   
25,Amravati,29,-2,21,-2,92,10,12,372,-,40,89   
26,Brahmapuri,27,-3,25,2,86,0,4,488,-,55,139  
27,Buldhana,26,-2,23,2,85,-1,6,314,-,35,85   
28,Chandrapur,30,-1,24,0,83,1,0,661,-,73,128  
29,Nagpur,29,-2,24,0,90,6,7,498,-,54,113  
30,Wardha,29,-2,24,1,92,8,0,511,-,57,109  
31,Yeotmal,29,-1,22,-1,79,-4,0,545,-,59,109  
32,Ahmedabad,31,-2,26,0,82,-5,5,149,-139,15.49,78   
33,Delhi (PLM),36,2,29,3,60,-21,0,121,-53,18,75   
34,Delhi (SFD),36,2,29,2,65,-14,0,222,50,28,78   
35,Bangalore A.P,28,0,20,0,80,-8,TR,299,164,43,-
36,Hyderabad,29,-2,21,-2,90,10,12,227,23,36,82   
