,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,29,-1,25,-1,95,7,19,1460,333,147,226  
1,Bhira,26,-1,23,1,100,3,36,2499,269,250,490  
2,Dahanu,31,0,25,0,95,7,12,1450,439,145,200  
3,Goa(Panjim),26,-3,23,-2,98,7,36,1954,341,196.05,294  
4,Harnai,26,-3,23,-1,95,6,192,3837,2539,384,252  
5,Mumbai (CLB),29,-1,25,0,98,9,15,1028,-91,103.15,216  
6,Mumbai (SCZ),30,-1,24,-2,92,6,10,1282,126,129.21,235  
7,Ratnagiri,26,-3,23,-1,100,10,86,2317,738,232,301  
8,Ahmednagar,26,-4,20,-1,95,13,3,234,61,23,62   
9,Jalgaon,30,-2,24,0,85,-1,6,376,81,38,75   
10,Kolhapur,23,-4,22,1,95,2,6,691,270,70,107  
11,Mahabaleshwar,19,-1,17,0,100,1,35,2816,255,285,582  
12,Malegaon,28,-2,23,0,45,-35,0,135,-58,16,56   
13,Nasik,26,-3,22,0,90,5,2,419,181,49,68   
14,Pune,25,-3,21,-1,95,-,2,275,1,30,74   
15,Pune AP(LHG),25,-,22,-,100,-,5,318,103,33,-
16,Sangli,23,-5,19,-3,95,6,18,446,251,46,67   
17,Satara,25,-2,21,-1,95,10,2,357,-28,40,96   
18,Solapur,27,-5,20,-2,90,8,47,292,83,36,76   
19,Aurangabad,27,-3,21,-1,95,10,10,383,136,48,77   
20,Nanded,31,-2,22,0,90,11,17,333,7,33,94   
21,Osmanabad,25,-,18,-,90,-,4,251,-6,29,82   
22,Parbhani,29,-3,22,-1,90,9,20,332,19,34,97   
23,Akola,31,-1,23,-1,91,9,8,471,-,50,83   
24,Amravati,25,-6,21,-2,93,11,45,419,-,45,89   
25,Brahmapuri,28,-3,24,1,92,6,27,581,-,64,139  
26,Buldhana,29,0,21,0,95,9,15,329,-,36,85   
27,Chandrapur,29,-3,24,0,91,9,72,748,-,81,128  
28,Nagpur,28,-3,25,1,85,1,4,534,-,57,113  
29,Wardha,31,0,24,1,93,9,15,538,-,60,109  
30,Yeotmal,30,0,23,0,84,1,20,570,-,61,109  
31,Ahmedabad,36,3,27,1,78,-9,TR,149,-158,15.49,78   
32,Delhi (PLM),41,7,28,2,75,-6,0,141,-67,18,75   
33,Delhi (SFD),37,3,28,1,80,1,TR,222,23,28,78   
34,Bangalore A.P,26,-2,19,-1,90,2,TR,315,171,45,-
35,Hyderabad,29,-2,22,-1,85,5,TR,244,20,38,82   
