,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,3,20,-1,75,4,0,0,0,0,226  
1,Bhira,41,-,14,-,60,-,0,0,0,0,490  
2,Dahanu,33,3,20,-1,45,-23,0,0,0,0,200  
3,Goa(Dabolim),-,-,23,-,80,-,0,0,0,0,275  
4,Goa(Panjim),33,2,24,1,97,14,0,0,0,0,294  
5,Harnai,32,3,23,-1,75,7,0,0,0,0,252  
6,Mumbai (CLB),37,6,23,1,85,13,0,0,0,0,216  
7,Mumbai (SCZ),38,5,19,-1,78,13,0,0,0,0,235  
8,Ratnagiri,34,3,22,0,95,21,0,0,0,0,301  
9,Ahmednagar,36,1,12,-6,50,15,0,0,-1,1,62   
10,Jalgaon,37,0,12,-6,23,-15,0,3,1,0,75   
11,Jeur,35,-2,18,0,40,-2,0,0,-1,0,62   
12,Kolhapur,36,0,21,2,65,10,0,0,0,0,107  
13,Mahabaleshwar,32,3,17,0,35,-1,0,6,3,1,582  
14,Malegaon,35,-1,14,-3,45,9,0,0,-1,0,56   
15,Nasik,35,1,12,-3,50,-1,0,0,-2,0,68   
16,Pune,36,1,14,-1,50,5,0,0,0,0,74   
17,Pune AP(LHG),36,-,17,-,37,-,0,0,-1,0,-
18,Sangli,37,1,20,2,55,1,0,0,0,3,67   
19,Satara,37,-,16,-,60,-,0,0,-1,3,96   
20,Solapur,37,0,20,-1,45,9,0,0,-1,0,76   
21,Aurangabad,35,0,15,-2,35,-2,0,10,7,1,77   
22,Nanded,37,0,17,-2,47,3,0,0,0,1,94   
23,Osmanabad,36,-,18,-,37,-,0,1,-1,1,82   
24,Parbhani,37,0,15,-4,25,-9,0,0,-6,1,97   
25,Akola,37,0,15,-4,50,15,0,5,0,0,83   
26,Amravati,35,-1,17,-4,27,-7,0,-,-,-,89   
27,Brahmapuri,36,1,18,-1,70,15,0,-,-,-,139  
28,Buldhana,33,-1,19,-2,33,-9,0,-,-,-,85   
29,Chandrapur,37,1,15,-4,65,18,0,-,-,-,128  
30,Nagpur,35,-1,16,-3,33,-8,0,0,-9,5,113  
31,Wardha,37,1,18,-2,60,27,0,-,-,-,109  
32,Yeotmal,35,-1,14,-7,27,-10,0,-,-,-,109  
33,Ahmedabad,37,2,17,-1,37,-10,0,00,0,0,78   
34,Delhi (PLM),30,0,15,2,75,14,0,1,-1,1,75   
35,Delhi (SFD),30,0,14,-1,70,22,0,4,-5,3,78   
36,Bangalore A.P,33,0,17,-1,70,9,0,0,-5,2,-
37,Hyderabad,35,1,20,0,60,5,0,0,-3,3,82   
