,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,33,1,27,1,75,0,0,0,-2,0,226  
1,Bhira,39,-,19,-,90,-,0,0,-7,0,490  
2,Dahanu,34,1,27,,70,-,0,0,-1,0,200  
3,Goa(Panjim),33,0,27,0,55,-16,0,16,-7,1.56,294  
4,Harnai,30,-1,25,-2,70,-7,0,0,-8,0,252  
5,Mumbai (CLB),35,2,27,0,68,-5,0,0,-2,0.01,216  
6,Mumbai (SCZ),33,0,25,-1,65,-3,0,0,-1,0.0,235  
7,Ratnagiri,33,0,26,-1,70,-3,0,0,-6,0,301  
8,Ahmednagar,41,2,19,-4,63,21,0,10,-9,2,62   
9,Jalgaon,42,-1,26,-1,65,13,0,7,-3,1,75   
10,Kolhapur,36,0,23,1,80,8,0,55,1,5,107  
11,Mahabaleshwar,31,2,19,1,30,-25,0,0,-48,1,582  
12,Malegaon,43,2,24,0,57,16,0,0,-13,0,56   
13,Nasik,36,-1,20,-2,70,13,0,0,-14,0,68   
14,Pune,37,0,22,0,57,5,0,0,-1,3,74   
15,Pune AP(LHG),38,-,21,-,60,-,0,0,-27,0,-
16,Satara,39,-,23,-,55,-17,0,4,-33,1,96   
17,Solapur,41,0,25,-1,70,22,0,45,20,4,76   
18,Aurangabad,39,0,25,2,70,23,0,18,5,2,77   
19,Nanded,45,3,23,-3,53,14,0,-,-,-,94   
20,Osmanabad,41,-,23,-,40,-,0,33,16,4,82   
21,Parbhani,43,1,25,-2,37,-9,0,35,11,5,97   
22,Akola,41,-2,27,-1,45,8,0,29,11,3,83   
23,Amravati,43,1,23,-5,33,-2,0,-,-,-,89   
24,Brahmapuri,-,-,28,-,50,5,0,-,-,-,139  
25,Buldhana,39,1,26,0,60,22,0,-,-,-,85   
26,Chandrapur,44,1,27,-1,55,20,0,-,-,-,128  
27,Nagpur,43,0,29,1,27,-6,0,66,27,7,113  
28,Wardha,44,1,-,,-,-,-,-,-,-,109  
29,Yeotmal,-,-,25,-,30,-8,0,-,-,-,109  
30,Ahmedabad,41,0,27,1,70,4,0,0,-8,0.0,78   
31,Delhi (PLM),44,4,29,3,43,13,0,10,-6,2,75   
32,Delhi (SFD),43,3,29,6,43,5,0,17,-9,4,78   
33,Bangalore A.P,32,-1,22,1,80,6,10,224,153,24,-
34,Hyderabad,42,4,25,-1,40,-9,0,8,-39,3,82   
