,0,1,2,3,4,5,6,7,8,9,10,11
0,Alibaug,29,0,19,1,95,25,0,0,-3,0,226  
1,Bhira,37,-,11,-,95,-,0,0,0,0,490  
2,Dahanu,28,0,18,1,85,18,0,0,0,0,200  
3,Goa(Dabolim),33,-,20,-,60,-,0,0,-1,0,275  
4,Goa(Panjim),33,2,19,-2,80,7,0,0,-1,0,294  
5,Harnai,29,1,21,-2,70,11,0,0,0,0,252  
6,Mumbai (CLB),30,1,21,1,86,14,0,0,-1,0,216  
7,Mumbai (SCZ),31,0,19,2,84,23,0,0,-1,0,235  
8,Ratnagiri,34,3,18,-2,80,11,0,0,-1,0,301  
9,Ahmednagar,-,-,11,3,90,45,0,0,-3,0,62   
10,Jalgaon,35,2,13,-1,55,9,0,0,-5,0,75   
11,Jeur,33,0,16,2,85,37,0,0,-3,0,62   
12,Kolhapur,33,0,16,0,80,24,0,0,-2,0,107  
13,Mahabaleshwar,29,3,15,0,50,6,0,0,-2,0,582  
14,Malegaon,-,-,16,3,65,21,0,0,-3,0,56   
15,Nasik,33,3,13,2,80,18,0,0,-1,0,68   
16,Pune,33,1,12,1,70,16,0,0,-2,0,74   
17,Pune AP(LHG),33,-,15,-,70,-,0,0,-2,0,-
18,Sangli,34,3,15,0,80,24,0,0,-3,0,67   
19,Satara,34,-,13,-,80,-,0,0,-4,0,96   
20,Solapur,34,1,18,1,65,24,0,0,-6,0,76   
21,Aurangabad,33,1,15,3,70,25,0,0,-3,0,77   
22,Nanded,35,1,16,1,50,1,0,0,-9,0,94   
23,Osmanabad,33,-,14,-,33,-,0,0,-8,0,82   
24,Parbhani,35,2,15,-1,55,17,0,0,-7,0,97   
25,Akola,36,4,17,2,53,6,0,0,-14,0,83   
26,Amravati,34,3,14,-3,95,54,0,-,-,-,89   
27,Brahmapuri,35,4,17,2,85,20,0,-,-,-,139  
28,Buldhana,34,4,18,0,53,10,0,-,-,-,85   
29,Chandrapur,34,2,18,0,75,13,0,-,-,-,128  
30,Nagpur,34,2,16,1,65,15,0,0,-19,0,113  
31,Wardha,35,2,16,-1,75,37,0,-,-,-,109  
32,Yeotmal,34,2,15,-3,47,5,0,-,-,-,109  
33,Ahmedabad,31,0,17,3,80,28,0,0,-3,0,78   
34,Delhi (PLM),29,5,16,8,80,5,0,0,-17,0,75   
35,Delhi (SFD),29,6,16,6,75,15,0,0,-31,0,78   
36,Bangalore A.P,29,-1,12,-4,50,-15,0,0,-9,0,-
37,Hyderabad,33,2,16,0,38,-27,0,0,-10,0,82   
